Variável,Imediata média,Imediata DP,Reserva média,Reserva DP,Diferença bruta,Diferença padronizada,N imediata,N reserva
Estoque médio pré,7.2464074387151305,9.551865809534872,10.852330151600224,10.957286856644883,-3.6059227128850937,-0.35081760558124636,182,137
Proporção de meses com cobertura pré,0.9070160608622148,0.27599515960727405,0.9635036496350365,0.18820979861687795,-0.056487588772821784,-0.2391350424817042,182,137
Vagas anunciadas na célula,1.5879120879120878,1.166032624169048,1.5985401459854014,1.025124483219983,-0.010628058073313573,-0.009680866738042804,182,137
População municipal 2010,40625.54945054945,76064.759112011,30713.394160583943,64941.90745076322,9912.155289965507,0.14015592816596037,182,137
IVS 2010,0.3411978021978022,0.06394286465192468,0.3461605839416058,0.07112005524801028,-0.0049627817438036015,-0.07338490174045156,182,137
