Grupo,Especificação,Beta,Erro-padrão,IC 95% inferior,IC 95% superior,P-valor,N,Clusters
Escala geográfica,Município completo (principal),-0.44590831510756845,0.2456357790600829,-0.9337621748524301,0.04194554463729311,0.07273234053096783,7975,93
Escala geográfica,Estabelecimento ofertante (diagnóstico),-0.44327520522631747,0.4001894762432113,-1.237972193232191,0.35142178277955605,0.27086384444149303,7525,94
Sensibilidade amostral,Principal sem os 3 municípios com mais vagas,-0.40709186837723055,0.267906511638294,-0.9394164004615523,0.12523266370709119,0.13217392012484638,7600,90
Placebo temporal,Placebo: falso início em 2025-01 usando apenas o pré,-0.03140053231957884,0.18891307419691772,-0.4065982040752507,0.343797139436093,0.8683510641784786,4147,93
