Mecanismo,Beta DDD,Erro-padrão,IC 95% inferior,IC 95% superior,P-valor,Primeiro mês,Último mês,N,Clusters
Entradas após seis meses de ausência,-0.07279239773181248,0.04208054066879998,-0.15636798376402167,0.01078318830039672,0.08701327361004353,202412,202607,6061,93
Saídas confirmadas por três meses posteriores,-0.01843645842242051,0.05043458076658552,-0.11860388918410264,0.08173097233926163,0.7155385812076186,202406,202604,7018,93
Saldo líquido nas competências com ambas as margens observáveis,-0.0633628592787368,0.06411224150304574,-0.19069530487700231,0.0639695863195287,0.3255923399684437,202412,202604,5104,93
Churn bruto nas competências com ambas as margens observáveis,-0.08140968821600483,0.07470737218171007,-0.2297849778814747,0.06696560144946503,0.2786851235027785,202412,202604,5104,93
Presença aos 6 meses (descritiva; diferença p.p.),7.15834357158343,,,,,202508,202601,1914,93
