escala,subamostra,cursos_incluidos,n_cursos,competencia,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,n_obs,n_celulas,n_clusters,n_parametros_fe_absorvidos,nota
proporcional,todos_10_cursos,1;2;3;5;9;12;13;14;15;16,10,202603,0.06840172350321641,0.018135229463974247,0.03271040062769585,0.10409304637873698,0.0001959861319669171,0.019132471045788437,0.0307477636865901,0.10605568331984272,0.00040901245058380653,15262,587,295,1547,amostra confirmatoria completa
proporcional,sem_curso_01,2;3;5;9;12;13;14;15;16,9,202603,0.08763062740304639,0.0200830101070256,0.04807081015523242,0.12719044465086035,1.8970150169754273e-05,0.021390870688544186,0.04549456658841793,0.12976668821767484,5.721157108226482e-05,11700,450,243,1384,exclui o curso 1
proporcional,sem_curso_02,1;3;5;9;12;13;14;15;16,9,202603,0.0835519983728026,0.020633519854752324,0.04293918041075478,0.12416481633485041,6.619688855643504e-05,0.021837332034548948,0.040569725016680755,0.12653427172892445,0.0001598969009388754,13624,524,287,1458,exclui o curso 2
proporcional,sem_curso_03,1;2;5;9;12;13;14;15;16,9,202603,0.06813898257761156,0.01847428714163106,0.03177985901116655,0.10449810614405657,0.00026900861154972275,0.01950133170917705,0.029758539322164795,0.10651942583305832,0.0005492107884904126,14612,562,294,1496,exclui o curso 3
proporcional,sem_curso_05,1;2;3;9;12;13;14;15;16,9,202603,0.0659055063542665,0.018637071172313356,0.029223367339757216,0.10258764536877577,0.00047277669037278645,0.019701900927105803,0.027127531962463113,0.10468348074606987,0.0009314867725975016,14040,540,289,1474,exclui o curso 5
proporcional,sem_curso_09,1;2;3;5;12;13;14;15;16,9,202603,0.05584596933848862,0.019577270924037212,0.01730436013187448,0.09438757854510277,0.004668110583668546,0.020715486984857766,0.01506356371142064,0.0966283749655566,0.00745684122504078,13312,512,274,1420,exclui o curso 9
proporcional,sem_curso_12,1;2;3;5;9;13;14;15;16,9,202603,0.0640615818883882,0.018140251158963994,0.02835730149910891,0.0997658622776675,0.00048107145827213987,0.01916496669770581,0.026340420332807646,0.10178274344396876,0.0009395810594626443,14274,549,289,1483,exclui o curso 12
proporcional,sem_curso_13,1;2;3;5;9;12;14;15;16,9,202603,0.07240233585024329,0.01864331845836043,0.035710021694646606,0.10909465000583998,0.00012736691140260016,0.0196760232187356,0.03367753334863149,0.11112713835185509,0.0002779771183926956,14690,565,293,1499,exclui o curso 13
proporcional,sem_curso_14,1;2;3;5;9;12;13;15;16,9,202603,0.0591828213325006,0.02055414221113018,0.018706085751852113,0.0996595569131491,0.004321749560366535,0.02179212389251546,0.016268160750828035,0.10209748191417317,0.007062086323962323,12662,487,257,1395,exclui o curso 14
proporcional,sem_curso_15,1;2;3;5;9;12;13;14;16,9,202603,0.06181576567612457,0.019022151334229468,0.02437569834227072,0.09925583300997842,0.0012923438268460964,0.020104835234191883,0.022244721808458268,0.10138680954379087,0.002309533680529436,14118,543,289,1477,exclui o curso 15
proporcional,sem_curso_16,1;2;3;5;9;12;13;14;15,9,202603,0.06679598341675491,0.019152116207643743,0.02909319746419261,0.10449876936931721,0.000566832938257142,0.020210806249402358,0.027009064118207388,0.10658290271530244,0.0010754968569943318,14326,551,277,1459,exclui o curso 16
proporcional,somente_8_cbo_1_para_1,1;2;3;5;9;12;13;15,8,202603,0.05699522448967386,0.021954807775434296,0.013744658687687886,0.10024579029165984,0.01001753101127191,0.02329430579937705,0.011105872321678804,0.10288457665766892,0.015139804440210972,11726,451,239,1307,somente os cursos com CBO estritamente 1:1 na ponte
nivel,todos_10_cursos,1;2;3;5;9;12;13;14;15;16,10,202603,0.5001997255486577,0.23401243502089414,0.03964788131590419,0.9607515697814111,0.0333827608956619,0.2468805893129593,0.014322508369149944,0.9860769427281654,0.043659408261306376,15262,587,295,1547,amostra confirmatoria completa
nivel,sem_curso_01,2;3;5;9;12;13;14;15;16,9,202603,0.9203444755447309,0.23915495636400433,0.4492534230954151,1.3914355279940467,0.0001522182975476739,0.2547293816437018,0.4185746844740055,1.4221142666154563,0.000368021795672779,11700,450,243,1384,exclui o curso 1
nivel,sem_curso_02,1;3;5;9;12;13;14;15;16,9,202603,0.6530802746522679,0.2605469922849435,0.14024738706375794,1.165913162240778,0.012745772327304363,0.27574796841164884,0.11032740828044196,1.1958331410240939,0.018530254788885692,13624,524,287,1458,exclui o curso 2
nivel,sem_curso_03,1;2;5;9;12;13;14;15;16,9,202603,0.4947414686550162,0.245111572355536,0.01233898792504895,0.9771439493849835,0.044457007489225805,0.2587381067327744,-0.01447930516556506,1.0039622424755974,0.0568343104611359,14612,562,294,1496,exclui o curso 3
nivel,sem_curso_05,1;2;3;9;12;13;14;15;16,9,202603,0.4822686978711178,0.24835848552790135,-0.00655920901059609,0.9710966047528318,0.053133280256415505,0.26254845683831685,-0.03448840965634059,0.9990258053985762,0.06725873213491247,14040,540,289,1474,exclui o curso 5
nivel,sem_curso_09,1;2;3;5;12;13;14;15;16,9,202603,0.39038679268486387,0.25590667640350717,-0.11341453660038692,0.8941881219701147,0.1282909444871769,0.2707850059870267,-0.1427053793680143,0.923478964737742,0.15053725947880328,13312,512,274,1420,exclui o curso 9
nivel,sem_curso_12,1;2;3;5;9;13;14;15;16,9,202603,0.440204637738697,0.2437305762164751,-0.03951445525596836,0.9199237307333623,0.07194478838704906,0.257498550349077,-0.06661306621317387,0.9470223416905679,0.08842769841284723,14274,549,289,1483,exclui o curso 12
