escala,referencia,tipo_referencia,competencia_avaliada,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,n_obs,n_clusters,n_parametros_fe_absorvidos,nota
proporcional,202406,mes,202603,0.06391967877522865,0.028291050562406984,0.008241032849274944,0.11959832470118237,0.024593101741447774,0.02984675252195954,0.005179309199912184,0.12266004835054511,0.033047774849446744,15262,295,1547,referencia deslocada para 202406
proporcional,202407,mes,202603,0.060950554430185364,0.026305672501078414,0.009179262947009367,0.11272184591336136,0.021190091646108418,0.027752200128852503,0.006332401554171405,0.11556870730619932,0.02885537868847033,15262,295,1547,referencia deslocada para 202407
proporcional,202408,mes,202603,0.0658924631658068,0.026506180396105035,0.013726558973996356,0.11805836735761724,0.013476855827507727,0.027963733790649807,0.010857998147878849,0.12092692818373474,0.019111399381454428,15262,295,1547,referencia deslocada para 202408
proporcional,202409,mes,202603,0.07023578418731188,0.027123662231574436,0.016854635181351857,0.12361693319327191,0.010090982739988735,0.02861517045219783,0.01391924902704307,0.1265523193475807,0.014687829828303592,15262,295,1547,referencia deslocada para 202409
proporcional,202410,mes,202603,0.06634367406818673,0.02587227622844681,0.01542533491904488,0.11726201321732857,0.010835915092820905,0.027294971746165166,0.01262537668431108,0.12006197145206238,0.015671087180378605,15262,295,1547,referencia deslocada para 202410
proporcional,202411,mes,202603,0.062466569758062904,0.024994230612894245,0.013276282058525053,0.11165685745760076,0.01299135142918165,0.026368643113278956,0.010571347973581183,0.11436179154254462,0.018483802171513283,15262,295,1547,referencia deslocada para 202411
proporcional,202412,mes,202603,0.05787606929642481,0.024429665150544594,0.00979688351269769,0.10595525508015194,0.018478017812822566,0.025773032653355402,0.007153048022303231,0.1085990905705464,0.025472088148159606,15262,295,1547,referencia deslocada para 202412
proporcional,202501,mes,202603,0.06146716575007678,0.024278894490003977,0.013684706530311834,0.10924962496984172,0.011871626283688137,0.025613971236289904,0.011057187793372288,0.11187714370678128,0.017028280218357155,15262,295,1547,referencia deslocada para 202501
proporcional,202502,mes,202603,0.057808350406881724,0.024554036273085753,0.009484394084142374,0.10613230672962107,0.019213715360102974,0.025904242843205926,0.006827098860029586,0.10878960195373386,0.026393922767950946,15262,295,1547,referencia deslocada para 202502
proporcional,202503,mes,202603,0.05181262877142126,0.02405440119310815,0.004471987106753471,0.09915327043608904,0.03205455222224163,0.025377133234798645,0.0018687635593726618,0.10175649398346986,0.04207314522052785,15262,295,1547,referencia deslocada para 202503
proporcional,202504,mes,202603,0.06947577919134335,0.024067613446549688,0.022109134943999013,0.11684242343868767,0.0041817710463884035,0.02539107201935729,0.01950448153565442,0.11944707684703226,0.0065928660253128935,15262,295,1547,referencia deslocada para 202504
proporcional,202505,mes,202603,0.07144521917076796,0.02071787951735366,0.030671071337738158,0.11221936700379775,0.0006461583185389077,0.021857138934101832,0.02842893396843104,0.11446150437310487,0.0012085138605802258,15262,295,1547,referencia deslocada para 202505
proporcional,202506,mes,202603,0.06840172350321641,0.018135229463974247,0.03271040062769585,0.10409304637873698,0.00019598613196691755,0.019132471045788437,0.0307477636865901,0.10605568331984272,0.00040901245058380653,15262,295,1547,referencia deslocada para 202506
proporcional,media_12_meses_pre,media,202603,0.06330782808097485,0.02318959502749398,0.01766918175874218,0.10894647440320751,0.006715329343600087,0.024464772078481273,0.015159549556919033,0.11145610660503066,0.010141261344514301,15262,295,1547,media dos doze meses pre estimados (a referencia 202506 nao entra na media)
proporcional,media_13_meses_pre_com_referencia,media,202603,0.06369966619037805,0.022418303735085545,0.01957897179718561,0.10782036058357049,0.004805395111927705,0.02365106810251629,0.01715281054266099,0.11024652183809511,0.007480843847944025,15262,295,1547,"media dos treze meses pre, contando a referencia 202506 como zero"
nivel,202406,mes,202603,0.4185138793064678,0.3608916791302768,-0.2917446519415142,1.1287724105544497,0.24712566436916267,0.3807368203056004,-0.3308011933878634,1.167828952000799,0.2725710200891825,15262,295,1547,referencia deslocada para 202406
nivel,202407,mes,202603,0.3173027273361617,0.3457670917385508,-0.3631896224014364,0.9977950770737598,0.3595398529861756,0.364780544101512,-0.40060934563200545,1.0352148003043289,0.38509443743661625,15262,295,1547,referencia deslocada para 202407
nivel,202408,mes,202603,0.41076024923989907,0.3263500837122206,-0.23151815321233304,1.0530386516921313,0.2091556298003167,0.3442958105282433,-0.26683652242838996,1.088357020908188,0.23381381846887134,15262,295,1547,referencia deslocada para 202408
