tipo,excluido,termo,coef,se,p,n,n_clusters
leave_one_UF,11,atracao_muni,0.5712407641380928,0.2545840257616031,0.024843976085895638,567,280
leave_one_UF,12,atracao_muni,0.5137162730495651,0.254404653430217,0.04345729062715387,572,288
leave_one_UF,13,atracao_muni,0.5114881372173937,0.2486686612240992,0.0396952393506881,580,292
leave_one_UF,14,atracao_muni,0.5480419689552811,0.2502298795222544,0.02851307080218944,575,293
leave_one_UF,15,atracao_muni,0.5188281646654409,0.27250271809540105,0.05691831452277486,544,275
leave_one_UF,16,atracao_muni,0.562387041638146,0.24559890424448774,0.02202944905740898,581,291
leave_one_UF,17,atracao_muni,0.5124995799611934,0.2522612325767842,0.04219189353532148,581,291
leave_one_UF,21,atracao_muni,0.5029846480324203,0.27802018270727413,0.07042522575169809,543,267
leave_one_UF,22,atracao_muni,0.5011948888716682,0.281912907851011,0.07543081005778607,535,283
leave_one_UF,23,atracao_muni,0.6017182276804409,0.26056841060445574,0.0209295793315033,545,278
leave_one_UF,24,atracao_muni,0.4869040554755796,0.2573775754763162,0.05851910501163897,565,284
leave_one_UF,25,atracao_muni,0.524263379013504,0.24965939783638635,0.035736366718811904,579,293
leave_one_UF,26,atracao_muni,0.48914549016186243,0.24988084937355065,0.050286959705549986,581,291
leave_one_UF,27,atracao_muni,0.45994532138715005,0.2500342581355859,0.06583738562096679,578,292
leave_one_UF,28,atracao_muni,0.464090390183566,0.2495609342405845,0.0629382379041369,585,293
leave_one_UF,29,atracao_muni,0.4644788827743563,0.26880657071470426,0.08400081168775682,548,280
leave_one_UF,31,atracao_muni,0.378248181409202,0.29538238107826403,0.2003562058747741,473,241
leave_one_UF,32,atracao_muni,0.5050644629068448,0.25049592597135284,0.043772984195785306,583,292
leave_one_UF,33,atracao_muni,0.4853079353540084,0.25629335436805617,0.058282871471192925,575,288
leave_one_UF,35,atracao_muni,0.7419020583107916,0.2283323400199031,0.0011572184799317185,552,277
leave_one_UF,41,atracao_muni,0.506183053238549,0.25035746097340733,0.04319275004983854,586,294
leave_one_UF,42,atracao_muni,0.4945727074548832,0.2589360291313883,0.0561307809205115,569,283
leave_one_UF,43,atracao_muni,0.423823392451512,0.24860766668407983,0.08823395116919179,564,279
leave_one_UF,50,atracao_muni,0.5192293589295521,0.25157502564010314,0.039025817783787546,579,290
leave_one_UF,51,atracao_muni,0.509452467044008,0.2562811749845513,0.046826584080693845,570,281
leave_one_UF,52,atracao_muni,0.36118835357636847,0.2280744765753721,0.11327517718250965,566,280
leave_one_UF,53,atracao_muni,0.5061830532385134,0.2503574609734076,0.04319275004985343,586,294
leave_one_curso,1,atracao_muni,0.9395788604285294,0.2612914228480917,0.0003232670645019661,450,243
leave_one_curso,2,atracao_muni,0.658962532368487,0.273328567276754,0.015914058616559795,524,287
leave_one_curso,3,atracao_muni,0.48574783014073425,0.2582805472287865,0.06001294785720999,562,294
leave_one_curso,5,atracao_muni,0.4877694211761099,0.26544433872812656,0.06612753306324498,540,289
leave_one_curso,9,atracao_muni,0.3599469761900593,0.273699596903064,0.18847060442294294,512,274
leave_one_curso,12,atracao_muni,0.45284317710225375,0.26296533978011655,0.08505790338125224,549,289
leave_one_curso,13,atracao_muni,0.5680783500759631,0.261562312630839,0.029865755406258014,565,293
leave_one_curso,14,atracao_muni,0.23467275829330164,0.24006342991843288,0.32829950848617306,487,257
leave_one_curso,15,atracao_muni,0.47532568648315304,0.27167244234475096,0.08018254113885054,543,289
leave_one_curso,16,atracao_muni,0.45789397220972117,0.26539744366348106,0.08447086832105938,551,277
