atracao_muni,estrato,n_celulas,estoque_baseline_medio,estoque_6m_medio,delta_medio,delta_mediana,delta_sd,cobertura_baseline,cobertura_6m,entradas_6m_media,saldo_6m_medio,presentes_baseline_6m_media,elegiveis_baseline_media
0,interior_remoto,116,2.2672413793103448,2.7155172413793105,0.4482758620689655,0.0,0.998649763092816,0.7586206896551724,0.7758620689655172,0.1206896551724138,0.09482758620689655,0.05172413793103448,0.08620689655172414
0,capital,39,32.64102564102564,33.256410256410255,0.6153846153846154,1.0,3.977670467519668,1.0,1.0,0.23076923076923078,0.07692307692307693,0.20512820512820512,0.20512820512820512
0,metropolitano,120,17.85,18.133333333333333,0.2833333333333333,0.0,2.99911284735144,1.0,1.0,0.2916666666666667,0.058333333333333334,0.175,0.2
0,interior_proximo_polo,531,8.009416195856874,8.708097928436912,0.6986817325800376,0.0,2.0196156355841226,0.9416195856873822,0.9491525423728814,0.15630885122410546,0.10546139359698682,0.09227871939736347,0.1016949152542373
1,interior_remoto,30,3.2,4.366666666666666,1.1666666666666667,1.0,1.2058287558794356,0.9333333333333333,0.9333333333333333,0.23333333333333334,0.16666666666666666,0.1,0.1
1,capital,23,128.17391304347825,140.2608695652174,12.08695652173913,1.0,43.87576784459241,1.0,1.0,4.0,3.260869565217391,0.5652173913043478,0.6086956521739131
1,metropolitano,115,19.434782608695652,20.973913043478262,1.5391304347826087,1.0,3.873633220239468,0.9739130434782609,0.9739130434782609,0.4608695652173913,0.2782608695652174,0.17391304347826086,0.20869565217391303
1,interior_proximo_polo,210,13.814285714285715,15.08095238095238,1.2666666666666666,1.0,2.56127460294802,0.9666666666666667,0.9857142857142858,0.35714285714285715,0.28095238095238095,0.18095238095238095,0.19047619047619047
0,todos,806,9.839950372208436,10.436724565756824,0.5967741935483871,0.0,2.2201649574725524,0.9267990074441688,0.93424317617866,0.17493796526054592,0.09553349875930521,0.10421836228287841,0.11910669975186104
1,todos,378,21.64021164021164,23.64021164021164,2.0,1.0,11.280602350491769,0.9682539682539683,0.9788359788359788,0.6005291005291006,0.4523809523809524,0.19576719576719576,0.21428571428571427
