cod_curso,count,mean
11,188,0.12234042553191489
7,164,0.17073170731707318
1,147,0.2789115646258503
10,131,0.0916030534351145
14,108,0.4351851851851852
8,92,0.6304347826086957
9,86,0.22093023255813954
2,64,0.40625
15,51,0.5490196078431373
5,50,0.3
12,43,0.3023255813953488
4,42,0.5
6,41,0.6097560975609756
16,40,0.325
3,26,0.5384615384615384
13,22,0.45454545454545453
