amostra,escala,competencia,fase,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,referencia,n_obs,n_celulas,n_clusters,n_parametros_fe_absorvidos,q_fdr_bh,q_fdr_bh_gl_fe,familia_fdr
confirmatoria_587,proporcional,202406,PRE,0.004482044727987752,0.02394884609838384,-0.042650857576422944,0.051614947032398446,0.8516715172404403,0.025265773750896878,-0.045242657704616294,0.054206747160591796,0.8593195804050437,False,15262,587,295,1547,0.9462363382613319,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202407,PRE,0.007451169073031046,0.021644619331944722,-0.03514686359199806,0.050049201738060156,0.7309040734469109,0.022834839420597757,-0.037489294911184516,0.05239163305724661,0.7444242106903762,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202408,PRE,0.0025092603374096104,0.02127618234863027,-0.03936366414209136,0.044382184816910586,0.906197691655783,0.02244614238594129,-0.04166622234936825,0.04668474302418748,0.9110659852366838,False,15262,587,295,1547,0.9462363382613319,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202409,PRE,-0.0018340606840954688,0.0217233133539593,-0.04458696835380401,0.04091884698561308,0.9327734315741428,0.022917860763154326,-0.04693791612407573,0.0432697947558848,0.9362697756196153,False,15262,587,295,1547,0.9462363382613319,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202410,PRE,0.0020580494350296834,0.019729529075624235,-0.03677095980463391,0.04088705867469328,0.91699196326567,0.020814439901975193,-0.03890613557791878,0.04302223444797815,0.921304072654288,False,15262,587,295,1547,0.9462363382613319,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202411,PRE,0.005935153745153506,0.018768561675610664,-0.031002608526013352,0.042872916016320366,0.7520534856437313,0.01980062968285282,-0.03303378616008463,0.04490409365039164,0.7645829396008992,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202412,PRE,0.0105256542067916,0.01835330041189239,-0.02559484661915848,0.04664615503274168,0.5667432803820183,0.019362533538532723,-0.027581083708198173,0.04863239212178137,0.5871222842474065,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202501,PRE,0.0069345577531396245,0.01873580513247325,-0.02993873748937861,0.043807852995657856,0.711557123551112,0.019766071883935435,-0.031966370133751684,0.045835485640030926,0.7259661267840148,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202502,PRE,0.010593373096334685,0.019247918766065915,-0.02728779541747693,0.048474541610146304,0.5824872321193647,0.020306346231515594,-0.02937085019683481,0.05055759638950418,0.6022873530137239,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202503,PRE,0.016589094731795147,0.016900462267994618,-0.0166721251910522,0.0498503146546425,0.3271156356586404,0.017829805001650472,-0.01850113273875494,0.05167932220234524,0.3529202654126781,False,15262,587,295,1547,0.62906853011277,0.678692818101304,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202504,PRE,-0.0010740556881269378,0.01591395023295075,-0.032393755122728886,0.030245643746475013,0.9462363382613318,0.016789045468704238,-0.03411600003107994,0.03196788865482607,0.9490347217638474,False,15262,587,295,1547,0.9462363382613319,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202505,PRE,-0.003043495667551544,0.00849319877765648,-0.01975866877421064,0.013671677439107554,0.7203422799908319,0.00896023290041284,-0.020677822606936937,0.01459083127183385,0.7343498173776316,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202506,PRE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,15262,587,295,1547,,,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202507,TRANSICAO,-0.0028830277654644954,0.007449921404395356,-0.017544962469391648,0.011778906938462659,0.6990452997312916,0.00785958654927092,-0.018351210385120886,0.012585154854191897,0.7140195998096103,False,15262,587,295,1547,0.9400668570546641,0.9490347217638474,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202508,TRANSICAO,-0.01600268256194357,0.009904535116602421,-0.03549545829333592,0.0034900931694487845,0.1072333829949167,0.010449177481698265,-0.036567350245016964,0.004561985121129829,0.1267266528904238,False,15262,587,295,1547,0.23471486936022132,0.2762231572080124,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202509,TRANSICAO,0.02181341230709163,0.013709697046292825,-0.005168172060331995,0.048794996674515256,0.11266313729290622,0.014463582184377108,-0.006651867534264309,0.050278692148447574,0.13258711545984594,False,15262,587,295,1547,0.23471486936022132,0.2762231572080124,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202510,POS_ADMIN,0.03309497222075361,0.01491864624401814,0.0037340964171873395,0.06245584802431988,0.027293944717812855,0.015739010519444884,0.0021195656339974625,0.06407037880750976,0.03633890763372061,False,15262,587,295,1547,0.0783852952824256,0.1040531984609092,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202511,POS_ADMIN,0.0363587106805555,0.015186339716141752,0.006470996539254783,0.06624642482185622,0.017284368245393384,0.016021424238815005,0.004827495342521131,0.06788992601858987,0.02396950074439255,False,15262,587,295,1547,0.06172988659069066,0.08560535980140195,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202512,POS_ADMIN,0.034864928101322315,0.0158108004875015,0.003748234141598434,0.0659816220610462,0.02821870630167322,0.016680223602286243,0.002037152339911502,0.06769270386273313,0.03745915144592731,False,15262,587,295,1547,0.0783852952824256,0.1040531984609092,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202601,POS_ADMIN,0.03081526346020645,0.01631618200991613,-0.0012960545337848094,0.0629265814541977,0.0599254007662966,0.017213395645346536,-0.0030618299056420877,0.06469235682605498,0.07445214244637872,False,15262,587,295,1547,0.1498135019157415,0.1861303561159468,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202602,POS_ADMIN,0.04357768533353456,0.01695625906129996,0.010206653656210339,0.07694871701085879,0.01066229042789088,0.01788867001543389,0.008371607649057512,0.0787837630180116,0.01544246802893142,False,15262,587,295,1547,0.044426210116212006,0.06434361678721424,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202603,POS_ADMIN,0.06840172350321641,0.018135229463974247,0.03271040062769585,0.10409304637873698,0.0001959861319669171,0.019132471045788437,0.0307477636865901,0.10605568331984272,0.00040901245058380653,False,15262,587,295,1547,0.0016332177663909758,0.0034084370881983877,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202604,POS_ADMIN,0.07884511852127955,0.0188409252474488,0.041764939987223304,0.1159252970553358,3.7738417050160774e-05,0.019876972468904318,0.03972593099818836,0.11796430604437075,9.162739340143863e-05,False,15262,587,295,1547,0.0007719685369240838,0.0017914260906712039,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202605,POS_ADMIN,0.08465300471264588,0.02082576695667453,0.04366652731198289,0.12563948211330886,6.17574829539267e-05,0.02197095901634073,0.04141271411170196,0.12789329531358978,0.0001433140872536963,False,15262,587,295,1547,0.0007719685369240838,0.0017914260906712039,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202606,POS_ADMIN,0.07006759526147788,0.02315435709194397,0.02449829951116273,0.11563689101179303,0.0026963579887360895,0.024427596437392025,0.021992480841127315,0.11814270968182844,0.004424528343353823,False,15262,587,295,1547,0.01685223742960056,0.027653302145961397,25_coeficientes_de_evento_confirmatoria_587_proporcional
confirmatoria_587,proporcional,202607,POS_ADMIN,0.06265262285414944,0.024243064804395222,0.014940678809289266,0.11036456689900961,0.01023837700572057,0.025576171305285392,0.012317037644712599,0.11298820806358628,0.014882878102278585,False,15262,587,295,1547,0.044426210116212006,0.06434361678721424,25_coeficientes_de_evento_confirmatoria_587_proporcional
ampliada_1184,proporcional,202406,PRE,0.003723541714836846,0.015791225985410596,-0.027329097985150617,0.03477618141482431,0.8137208419050358,0.01641693720129815,-0.02855952714632838,0.036006610576002074,0.8206970019738179,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202407,PRE,0.007057460861712406,0.014473389385639739,-0.021403720445244086,0.0355186421686689,0.6261127859048894,0.015046882671016667,-0.022531465711990634,0.03664638743541544,0.6393256710089226,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202408,PRE,0.0010350541458061134,0.014034117417538067,-0.026562321262332392,0.02863242955394462,0.9412473397824929,0.014590204999423692,-0.02765583910178864,0.02972594739340087,0.9434827857720315,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202409,PRE,-0.005756704831090007,0.01399520112195286,-0.03327755333078061,0.021764143668600595,0.6810675928004525,0.014549746685337138,-0.03436803886957969,0.02285462920739968,0.6925881958128056,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202410,PRE,-0.005544830761489645,0.012871574239577388,-0.030856124362285013,0.01976646283930572,0.6668804401668437,0.013381597234326106,-0.031859058542903586,0.020769397019924297,0.6788507981819942,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202411,PRE,0.0005123231395060025,0.012287529108572618,-0.023650475528826303,0.024675121807838308,0.9667648630564017,0.012774409910980358,-0.024607901769700607,0.025632548048712612,0.9680308847721455,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
