tipo,excluido,termo,coef,se,p,n,n_clusters
leave_one_UF,AC,estrato_capital,0.3556131609163058,0.07876888619026114,6.342442543423984e-06,1273,361
leave_one_UF,AC,estrato_interior_proximo_polo,0.12174898749862312,0.044153080851824546,0.0058257855709548225,1273,361
leave_one_UF,AC,estrato_metropolitano,0.2830730305992365,0.05944120571548703,1.9145989059343413e-06,1273,361
leave_one_UF,AL,estrato_capital,0.3340165951057338,0.07255715786792662,4.1545692975455e-06,1282,364
leave_one_UF,AL,estrato_interior_proximo_polo,0.11878124833542583,0.043065902788911266,0.005813352877382591,1282,364
leave_one_UF,AL,estrato_metropolitano,0.2749578874656061,0.058722187201736206,2.8360342784195503e-06,1282,364
leave_one_UF,AM,estrato_capital,0.3614058801552438,0.06948185830694453,1.977478171219098e-07,1269,357
leave_one_UF,AM,estrato_interior_proximo_polo,0.11669823642694878,0.04401105292841123,0.008011931860880913,1269,357
leave_one_UF,AM,estrato_metropolitano,0.278042576521123,0.05954768349434215,3.023123111829798e-06,1269,357
leave_one_UF,AP,estrato_capital,0.34348868885748507,0.0726726357999753,2.283999605593568e-06,1284,364
leave_one_UF,AP,estrato_interior_proximo_polo,0.12033447354152192,0.04339830337732446,0.0055577612041473115,1284,364
leave_one_UF,AP,estrato_metropolitano,0.27533644251289124,0.058566733958751525,2.5858268913352363e-06,1284,364
leave_one_UF,BA,estrato_capital,0.3117281448822539,0.07271544278893614,1.8113545135709486e-05,1180,347
leave_one_UF,BA,estrato_interior_proximo_polo,0.11580514730657933,0.04306189355999095,0.007160803186517309,1180,347
leave_one_UF,BA,estrato_metropolitano,0.26743734762919874,0.06038955166684082,9.487456367705881e-06,1180,347
leave_one_UF,CE,estrato_capital,0.3390270088226886,0.07202557712652342,2.5134411749590937e-06,1195,347
leave_one_UF,CE,estrato_interior_proximo_polo,0.1272885107433248,0.04235260790260027,0.0026519096476343776,1195,347
leave_one_UF,CE,estrato_metropolitano,0.30554974188651846,0.05698172185527559,8.219564101040229e-08,1195,347
leave_one_UF,DF,estrato_capital,0.32640380454134643,0.07176501181244307,5.40989038534643e-06,1293,367
leave_one_UF,DF,estrato_interior_proximo_polo,0.12065001700234027,0.0431049678806734,0.005126404003360071,1293,367
leave_one_UF,DF,estrato_metropolitano,0.27928566565626967,0.05852872427074247,1.8261311632914546e-06,1293,367
leave_one_UF,ES,estrato_capital,0.32677673765934234,0.07188646995183404,5.474425772914992e-06,1290,365
leave_one_UF,ES,estrato_interior_proximo_polo,0.12129945061364901,0.04322219474648911,0.005009600164671553,1290,365
leave_one_UF,ES,estrato_metropolitano,0.27967397665533444,0.05857652571227215,1.801488640575926e-06,1290,365
leave_one_UF,GO,estrato_capital,0.31730734942824473,0.07198078406034969,1.0422219518613869e-05,1252,347
leave_one_UF,GO,estrato_interior_proximo_polo,0.12123744751480872,0.044611625153949036,0.006575329463426332,1252,347
leave_one_UF,GO,estrato_metropolitano,0.25251511991717934,0.05875281767340779,1.7240558620001582e-05,1252,347
leave_one_UF,MA,estrato_capital,0.3259525531314996,0.07222274990879567,6.386994009466905e-06,1205,336
leave_one_UF,MA,estrato_interior_proximo_polo,0.13905169480103421,0.044355961724612994,0.001719101879382519,1205,336
leave_one_UF,MA,estrato_metropolitano,0.2754206658231955,0.060270589819350344,4.883396817670808e-06,1205,336
leave_one_UF,MG,estrato_capital,0.31657625855140115,0.07428461265915663,2.0290793164719163e-05,1043,305
leave_one_UF,MG,estrato_interior_proximo_polo,0.08728737639453756,0.04772519391959233,0.06740589666841107,1043,305
leave_one_UF,MG,estrato_metropolitano,0.2691117141459713,0.06430314239470443,2.851063044751125e-05,1043,305
leave_one_UF,MS,estrato_capital,0.335163643627097,0.07229055687992941,3.546314417443141e-06,1280,362
leave_one_UF,MS,estrato_interior_proximo_polo,0.11952734637678525,0.043187922539491656,0.005646890488207935,1280,362
leave_one_UF,MS,estrato_metropolitano,0.2789878895749419,0.0586103115198476,1.935470305794045e-06,1280,362
leave_one_UF,MT,estrato_capital,0.3304525596681301,0.072517981525004,5.192990198655546e-06,1253,350
leave_one_UF,MT,estrato_interior_proximo_polo,0.11958433439265977,0.045435876521641876,0.008489977018871575,1253,350
leave_one_UF,MT,estrato_metropolitano,0.28061926255867176,0.06000537616558938,2.917149347952627e-06,1253,350
leave_one_UF,PA,estrato_capital,0.35692755610864935,0.0857796192477526,3.168803740534956e-05,1200,348
leave_one_UF,PA,estrato_interior_proximo_polo,0.1342204437253351,0.048848328126419725,0.006001529654566754,1200,348
leave_one_UF,PA,estrato_metropolitano,0.3153753212105753,0.06377939841385281,7.622850693567948e-07,1200,348
leave_one_UF,PB,estrato_capital,0.3355305470413723,0.07132775304635323,2.5502918320231638e-06,1277,365
leave_one_UF,PB,estrato_interior_proximo_polo,0.12227659785933437,0.043145008034426606,0.004595718033974146,1277,365
leave_one_UF,PB,estrato_metropolitano,0.27121465858234234,0.0589775257225824,4.253184703035887e-06,1277,365
leave_one_UF,PE,estrato_capital,0.3255856809240264,0.0717340716050249,5.657871627070614e-06,1289,364
leave_one_UF,PE,estrato_interior_proximo_polo,0.12071559528729098,0.04305089286036959,0.005046966268552254,1289,364
leave_one_UF,PE,estrato_metropolitano,0.2791252413251829,0.05862010059879918,1.920678147039275e-06,1289,364
leave_one_UF,PI,estrato_capital,0.3099414455505178,0.07651678509095804,5.1079179000260066e-05,1187,356
leave_one_UF,PI,estrato_interior_proximo_polo,0.11754681196065041,0.0428950670851097,0.006137677218729227,1187,356
leave_one_UF,PI,estrato_metropolitano,0.2728399784573493,0.06172446464557804,9.856894202777677e-06,1187,356
leave_one_UF,PR,estrato_capital,0.30638703838477155,0.07014102742468185,1.2529925882074661e-05,1282,363
leave_one_UF,PR,estrato_interior_proximo_polo,0.1215535487883371,0.04306663550589946,0.004765782693417171,1282,363
