termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
const,-0.04685661703010471,0.07408145163199115,-0.19205359415125337,0.09834036009104394,0.5270593366189278,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_10,-0.28118048775607857,0.047912507380354546,-0.375087276630583,-0.18727369888157414,4.394268583308796e-09,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_11,-0.2621060042102635,0.0431128032193078,-0.3466055457926693,-0.17760646262785768,1.205279437308806e-09,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_12,-0.10846255249151432,0.09395988214458795,-0.2926205374865348,0.07569543250350616,0.24835686864963813,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_13,-0.05824317177383716,0.1125369565274982,-0.2788115534974834,0.1623252099498091,0.6047743218044659,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_14,0.10657407486270916,0.058650999083034165,-0.008379770997329533,0.22152792072274785,0.06920351397477886,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_15,0.20654542677295856,0.07562483661472287,0.05832347067137575,0.35476738287454135,0.006310701736575046,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_16,-0.15861747160642542,0.0894952361538419,-0.33402491125586253,0.016789968043011666,0.07633538285524788,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_2,0.07563990888087799,0.07144357908428652,-0.06438693305096269,0.21566675081271866,0.2897199019701593,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_3,0.06295689095987311,0.11165095487764248,-0.15587495943981283,0.28178874135955906,0.572840980382247,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_4,0.08219034323812838,0.08569655846783034,-0.08577182495785007,0.25015251143410683,0.33751557681818645,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_5,-0.12677527636824512,0.0764491988453958,-0.276612952752162,0.023062400015671752,0.09725806395930307,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
cod_curso_6,0.21681915184954337,0.07512857018442666,0.06956986007807739,0.3640684436210093,0.0039020353884080604,,LPM_municipio_curso_minimal,1184,368,0.24396478430555935,0.31925675675675674
