termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
const,0.06468495306591822,0.060196443636699265,-0.053297908459407656,0.1826678145912441,0.2825698144966333,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
atracao_muni,0.029452931891427527,0.039446042809583345,-0.04785989134798099,0.10676575513083605,0.45526653133293704,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,0.45526653133293704,minimal_5_desfechos
cod_curso_12,-0.10451163988694938,0.08284644477593056,-0.2668876878949598,0.05786440812106104,0.20712506666597275,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_13,-0.11505463963205881,0.09370989224847906,-0.29872265343420695,0.06861337417008934,0.21953153639762857,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_14,-0.030160159687873188,0.06520142721366609,-0.1579526087672685,0.0976322893915221,0.6436733256035259,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_15,-0.10067534335648831,0.06692492509859448,-0.2318457862177742,0.03049509950479759,0.13250345253209259,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_16,-0.09013821204014083,0.07946549318776677,-0.2458877167018767,0.06561129262159504,0.2566660743305951,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_2,0.0711834275218106,0.08375387968529026,-0.09297116022685918,0.23533801527048037,0.39537401254729065,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_3,-0.14381125580289741,0.07156562161003747,-0.28407729668979226,-0.0035452149160025703,0.0444839286489065,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_5,-0.13390916754835716,0.048851860703083894,-0.22965705510416917,-0.03816127999254516,0.006122878587294776,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
cod_curso_9,-0.06603904502242781,0.056638061413230884,-0.1770476055465281,0.04496951550167247,0.24362111709238132,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_12,-0.013654883193728871,0.05668450537763077,-0.1247544722153522,0.09744470582789445,0.8096382849736418,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_13,0.11400613432258927,0.11590442653869293,-0.11316236734201732,0.3411746359871959,0.3253014443540929,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_15,0.09120653103376387,0.09186110136223109,-0.08883791921639238,0.2712509812839201,0.32077119262229936,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_17,-0.024788086298709034,0.07083228402962814,-0.16361681193949185,0.11404063934207377,0.7263727414106333,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_21,0.025033627617880454,0.06151335314263758,-0.09553032910998295,0.14559758434574385,0.6840355350655096,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_22,0.0520403661353927,0.06702324659191015,-0.07932278331169812,0.18340351558248352,0.43748186747729856,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_23,0.15611616377122045,0.12440723916836739,-0.08771754441484039,0.39994987195728127,0.20952230352252577,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_24,0.146430889660569,0.08777272104047265,-0.025600482403838415,0.3184622617249764,0.09525695844826025,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_29,0.07049020247609747,0.07149649665616681,-0.06964035599077789,0.21062076094297283,0.32416978744531766,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_31,0.03957693050491112,0.05979809593798229,-0.07762518387760507,0.15677904488742733,0.5080720669745061,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_33,0.2697526074724257,0.1744564461158361,-0.0721757437854657,0.6116809587303171,0.12204513267630882,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_35,0.14140124790633593,0.11004502973940117,-0.07428304706052952,0.3570855428732014,0.1988132916849722,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_41,-0.003999672917204292,0.09574040971418388,-0.19164742782211341,0.18364808198770483,0.9666770880027173,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_42,0.25118776639268936,0.12489840568722657,0.0063913895192526105,0.4959841432661261,0.04431102053719207,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_43,-0.00837331608158438,0.056498200995077665,-0.11910775522324164,0.10236112306007288,0.8821809831302425,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_50,0.10678178641722201,0.13547629710319667,-0.15874687666389148,0.3723104494983355,0.430582452926892,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_51,-0.048647277544813766,0.05515008616646974,-0.1567394601753751,0.05944490508574758,0.3777287470363083,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_52,-0.052329624285008716,0.054027294031815325,-0.15822117476952258,0.05356192619950513,0.3327560071769332,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_MACRO_CENTRO-OESTE,4.936022274730531,0.06782539187121095,4.803086949425642,5.068957600035421,0.0,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_MACRO_NORDESTE,0.16666351273379526,0.09650440757061682,-0.022481650453988228,0.3558086759215787,0.08416691748518851,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_MACRO_NORTE,0.4934181756627922,0.20901225905246684,0.08376167559260134,0.9030746757329831,0.0182397889831301,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.019930323866578607,0.06774360607058025,-0.11284470421462764,0.15270535194778487,0.7686033328185198,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
uf_fe_MACRO_SUDESTE,0.025453258974221796,0.0861455545763863,-0.14338892542372497,0.19429544337216856,0.7676363562776451,OLS_presentes_baseline_6m_minimal_nivel,587,295,0.27689360851934885,0.12095400340715502,,
const,-0.5181252396459632,0.3537229761614377,-1.2114095334267012,0.17515905413477473,0.14298179995970065,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
atracao_muni,0.016141524950395284,0.038986794233670054,-0.06027118762027188,0.09255423752106244,0.6788554699186142,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,0.6788554699186142,full_5_desfechos
cod_curso_12,-0.13169739304543746,0.07670096443484527,-0.28202852091722175,0.018633734826346837,0.0859747957981054,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_13,-0.12202290194129811,0.09911603734175617,-0.31628676542146733,0.0722409615388711,0.21828113278861327,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_14,-0.04765917400158788,0.06557028731751421,-0.17617457559985922,0.08085622759668344,0.4673233560802311,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_15,-0.08864402274167094,0.06763350010721755,-0.22120324710020323,0.043915201616861355,0.1899751597005922,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_16,-0.14726661390588788,0.09050454096851296,-0.3246522546415031,0.030119026829727336,0.10370019978300113,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_2,0.06196030336013205,0.08475334769894176,-0.10415320569899444,0.22807381241925856,0.4647387506766204,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_3,-0.1526560655665951,0.08095598386466675,-0.3113268782743477,0.0060147471411574616,0.05933977864842529,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_5,-0.14193804222593515,0.06225806360602901,-0.26396160464095586,-0.019914479810914404,0.02261754324581598,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
cod_curso_9,-0.08485872205668678,0.057783756020736154,-0.19811280274877915,0.0283953586354056,0.14195306658576787,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
estoque_baseline,0.0031737277889608484,0.0027222612033729137,-0.00216180612616073,0.008509261704082427,0.24367813308343167,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
estoque_por_10k,-0.0003711020647770241,0.0007624548695292396,-0.0018654861488915195,0.0011232820193374713,0.6264567414619574,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
estrato_capital,-0.2943862778553303,0.13993806291805877,-0.5686598412410255,-0.02011271446963503,0.03540551338203932,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
estrato_interior_proximo_polo,-0.07129556297569321,0.05630273363104496,-0.1816468931236934,0.039055767172306965,0.20540943850397053,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
estrato_metropolitano,-0.15093657185143416,0.0756711035641437,-0.2992492095075563,-0.002623934195312011,0.04608221269923226,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
ivs_2010,0.012890065579515922,0.27589921144317264,-0.5278624522121036,0.5536425833711354,0.9627362328447138,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
log_pop,0.06831426214211624,0.036431033106871305,-0.0030892506669378678,0.13971777495117033,0.0607697861688001,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
uf_fe_12,0.005846297653599247,0.07034435903408642,-0.13202611256876493,0.14371870787596344,0.9337643234739296,OLS_presentes_full_nivel,587,295,0.29876754078931234,0.12095400340715502,,
