termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr,nota
const,5.553145502023301,2.5660002647210733,0.5238773988497529,10.582413605196848,0.030454751954220538,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
atracao_muni,3.5970238307415348,1.5322569870990015,0.5938553209676378,6.600192340515432,0.018898199379431522,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,0.0472454984485788,minimal_5_desfechos,
cod_curso_12,-3.438727788752844,2.227990525205096,-7.805508976051312,0.9280533985456239,0.12272861549857637,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_13,-9.108689139786113,2.2397316184659535,-13.498482447014988,-4.718895832557239,4.7649553174837016e-05,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_14,6.98876892125136,1.4347669207860112,4.176677430301345,9.800860412201374,1.110272994409512e-06,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_15,-5.118483180624572,1.3063048149223728,-7.678793570703683,-2.55817279054546,8.91787845125372e-05,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_16,4.754413603654673,3.7863128214288766,-2.666623160548162,12.175450367857508,0.2092304499260098,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_2,3.824911416411073,1.489675925634638,0.9052002535308148,6.744622579291331,0.010240137915589967,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_3,-8.944517480178364,2.235321576513997,-13.325667264011091,-4.563367696345636,6.29566950040339e-05,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_5,-6.442151675628794,1.7796413618164817,-9.930184650186913,-2.954118701070674,0.00029469903047504175,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
cod_curso_9,4.992161893523381,3.636360275331376,-2.1349732809382713,12.119297067985034,0.16980029233633054,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_12,3.9287302086979627,5.803866088664525,-7.446638296177858,15.304098713573783,0.4984592090713552,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_13,5.774783583244149,4.993987471925203,-4.013252000973482,15.56281916746178,0.24753915666859994,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_15,1.4103139969993879,3.336976539637535,-5.130039837945278,7.9506678319440525,0.6725635726000163,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_17,5.270600378700308,4.276036915279136,-3.11027797181055,13.651478729211167,0.2177287664445201,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_21,-2.186455585165587,3.11427279984606,-8.290318110896582,3.917406940565407,0.48263188976664895,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_22,0.14669605257548834,3.051274435336606,-5.83369194763205,6.127084052783027,0.961654894224603,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_23,1.5578705265596087,3.5011875325578443,-5.304330940374424,8.420071993493641,0.6563523513425449,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_24,-2.444210220069081,3.754727413546225,-9.803340722384913,4.91492028224675,0.5150666581761845,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_29,7.303524188448189,3.2342648341419427,0.9644815970655696,13.642566779830808,0.023934978669655427,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_31,-2.109678030085308,2.7878684921623536,-7.573799868357507,3.3544438081868906,0.44920856279874044,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_33,0.9366571937051491,3.4774319481211227,-5.878984183301209,7.752298570711507,0.7876579473783362,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_35,10.956428856306015,5.685079998889499,-0.1861231907464127,22.098980903358445,0.05395158349264427,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_41,53.09541706358022,4.950970115894244,43.3916939478934,62.79914017926704,7.83239939923751e-27,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_42,6.371340539486129,4.270617292900874,-1.998915546353528,14.741596625325785,0.135724957471602,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_43,5.954203876956204,4.353734528219912,-2.5789589966033057,14.487366750515715,0.1714346882493718,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_50,3.1529855096960753,3.7861856820971913,-4.267802065995639,10.573773085387788,0.40497987147500913,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_51,-1.9417652919131523,2.7545044043276627,-7.340494719652327,3.4569641358260217,0.480846456043143,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_52,-1.3421564546400027,3.8593451520454454,-8.906333956558335,6.222021047278329,0.7280144800946632,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_MACRO_CENTRO-OESTE,906.8610617459848,3.1908330107545644,900.6071439642243,913.1149795277453,0.0,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_MACRO_NORDESTE,20.979261112699298,11.00073969459855,-0.5817924920140136,42.54031471741261,0.05651057643645723,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_MACRO_NORTE,15.072793464334483,8.0843972342944,-0.7723339515977621,30.917920880266728,0.06226133057372114,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_MACRO_SEM_REGIAO_SAUDE,1.854062414296014,3.7942738882282914,-5.582577754112191,9.290702582704219,0.625091284835168,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
uf_fe_MACRO_SUDESTE,28.692440894322186,4.632770405865404,19.612377750182986,37.772504038461385,5.889290584558134e-10,OLS_estoque_6m_minimal_atracao_FEcurso_FEuf_cluster,587,295,0.8761431077475491,11.894378194207837,,,
const,-3.0094347353078916,1.4353827884715746,-5.8227333047408525,-0.19613616587493077,0.03602830916452259,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
atracao_muni,0.37668274834456617,0.22519990499341433,-0.06470095476436782,0.8180664514535001,0.09439435702609711,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,0.13299223571431978,full_5_desfechos,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_12,-1.208539308547059,0.5254268965713871,-2.2383571023356295,-0.1787215147584884,0.021442026669190054,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
