escala,outcome,n_obs,n_unidades,n_clusters,n_parametros_fe_absorvidos,n_tratadas,n_controle,mar2026_beta,mar2026_se_gl_fe,mar2026_p_gl_fe,mar2026_ci_low_gl_fe,mar2026_ci_high_gl_fe,pre_F_gl_fe,pre_p_gl_fe,n_coef_pre,pre_F_posto_covariancia,pre_F_confiavel,teste,tratamento,comparacao_reauditoria_nivel
nivel,especialistas_mst,9672,372,231,1254,198,174,0.0634466191497143,0.3089813114590479,0.8374871117242673,-0.5453490761662502,0.6722423144656787,1.5696408254651832,0.10151702698378753,12,12,True,placebo_celulas_sem_atracao_em_municipio_com_atracao,muni_com_atracao,"{""beta"": 0.092, ""se"": 0.303, ""p"": 0.761, ""pre_F"": 0.81}"
proporcional,log_estoque_mst,9672,372,231,1254,198,174,0.0006730906955801259,0.02693935778282936,0.9800882710402259,-0.05240638189555377,0.05375256328671403,0.5479232747240292,0.8815044457359871,12,12,True,placebo_celulas_sem_atracao_em_municipio_com_atracao,muni_com_atracao,"{""beta"": 0.092, ""se"": 0.303, ""p"": 0.761, ""pre_F"": 0.81}"
