competencia,especialistas_mst_mean,especialistas_mst_median,especialistas_mst_std,especialistas_mst_count,cobertura_binaria_mst_mean,cobertura_binaria_mst_median,cobertura_binaria_mst_std,cobertura_binaria_mst_count,n_entradas_6m_mean,n_entradas_6m_median,n_entradas_6m_std,n_entradas_6m_count,saldo_liquido_mean,saldo_liquido_median,saldo_liquido_std,saldo_liquido_count,t_rel_T0
202406,13.054054054054054,6.0,36.248467954223294,1184,0.9307432432432432,1.0,0.25399753386018287,1184,,,,0,,,,0,-16
202407,13.130067567567568,6.0,36.38773967947252,1184,0.9324324324324325,1.0,0.2511084380717467,1184,,,,0,,,,0,-15
202408,13.173141891891891,6.0,36.59933051311992,1184,0.9358108108108109,1.0,0.2451932176179998,1184,,,,0,,,,0,-14
202409,13.16722972972973,6.0,35.23572219746989,1184,0.9358108108108109,1.0,0.2451932176179998,1184,,,,0,,,,0,-13
202410,13.275337837837839,6.0,36.57207522518106,1184,0.9366554054054054,1.0,0.24368465447072898,1184,,,,0,,,,0,-12
202411,13.284628378378379,6.0,36.63448435541146,1184,0.9358108108108109,1.0,0.24519321761799998,1184,,,,0,,,,0,-11
202412,13.309121621621621,6.0,37.077069689720695,1184,0.9324324324324325,1.0,0.25110843807174665,1184,0.10388513513513513,0.0,0.8346987492565586,1184,-0.06672297297297297,0.0,1.6265259134206422,1184,-10
202501,13.256756756756756,6.0,36.83448559134944,1184,0.9298986486486487,1.0,0.25542563525633305,1184,0.11233108108108109,0.0,0.6208956298022538,1184,-0.009290540540540541,0.0,0.7564307588012075,1184,-9
202502,13.266891891891891,6.0,37.04507845635961,1184,0.9307432432432432,1.0,0.25399753386018303,1184,0.125,0.0,0.6326559827910306,1184,-0.02702702702702703,0.0,0.8361724651601985,1184,-8
202503,13.347128378378379,6.0,37.449998563725806,1184,0.9358108108108109,1.0,0.2451932176180001,1184,0.22381756756756757,0.0,0.7928720621963492,1184,0.12922297297297297,0.0,0.7419496859942926,1184,-7
202504,13.440033783783784,6.0,37.288958051414404,1184,0.9366554054054054,1.0,0.24368465447072882,1184,0.18412162162162163,0.0,0.6368916794873694,1184,0.0625,0.0,0.795897660114768,1184,-6
202505,13.517736486486486,6.0,37.33204855269778,1184,0.9383445945945946,1.0,0.24063025762295587,1184,0.19425675675675674,0.0,0.6244665997387714,1184,0.12331081081081081,0.0,0.6343216913627021,1184,-5
202506,13.607263513513514,6.0,37.4599744414105,1184,0.9400337837837838,1.0,0.2375245658846441,1184,0.14949324324324326,0.0,0.4852339467186288,1184,0.026182432432432432,0.0,0.6856754014899826,1184,-4
202507,13.688344594594595,6.0,37.505998383661314,1184,0.9442567567567568,1.0,0.2295221725246336,1184,0.19594594594594594,0.0,0.6784576390586783,1184,0.09206081081081081,0.0,0.9012836584479437,1184,-3
202508,13.780405405405405,6.0,38.1654637732296,1184,0.9459459459459459,1.0,0.2262198837211716,1184,0.18496621621621623,0.0,1.2405151217309496,1184,0.06418918918918919,0.0,1.2194263099761555,1184,-2
202509,13.920608108108109,6.0,38.27619669510326,1184,0.9451013513513513,1.0,0.22787857661185631,1184,0.2635135135135135,0.0,0.8623739001667106,1184,0.15202702702702703,0.0,0.9539857816693776,1184,-1
202510,14.070945945945946,6.0,38.992619547231605,1184,0.9459459459459459,1.0,0.22621988372117158,1184,0.2491554054054054,0.0,1.7664811781242646,1184,0.15287162162162163,0.0,1.550864901027692,1184,0
202511,14.208614864864865,6.0,39.316448908821634,1184,0.9484797297297297,1.0,0.22114981078690713,1184,0.22719594594594594,0.0,1.20012830060127,1184,0.13851351351351351,0.0,1.0210314939981435,1184,1
202512,14.25,6.0,39.56340342987694,1184,0.9476351351351351,1.0,0.22285585555923804,1184,0.14442567567567569,0.0,1.121639607680523,1184,0.022804054054054054,0.0,0.7964334543996862,1184,2
202601,14.34543918918919,6.0,39.88149940005987,1184,0.9476351351351351,1.0,0.22285585555923804,1184,0.20101351351351351,0.0,1.2294494241512688,1184,0.10219594594594594,0.0,1.0032214765307614,1184,3
202602,14.431587837837839,6.0,40.42799824304771,1184,0.9476351351351351,1.0,0.22285585555923804,1184,0.20692567567567569,0.0,1.4071136772279549,1184,0.08530405405405406,0.0,1.4497454495837512,1184,4
202603,14.652027027027026,7.0,41.73015024744904,1184,0.9484797297297297,1.0,0.22114981078690726,1184,0.3108108108108108,0.0,2.0611164119441385,1184,0.20945945945945946,0.0,1.9096352331347997,1184,5
202604,14.82179054054054,7.0,42.41964605899161,1184,0.9510135135135135,1.0,0.21593098632887345,1184,0.25675675675675674,0.0,1.261949124376887,1184,0.10050675675675676,0.0,1.255601042519592,1184,6
202605,14.911317567567568,7.0,43.56246851376976,1184,0.9510135135135135,1.0,0.21593098632887345,1184,0.25084459459459457,0.0,2.0958638080227723,1184,,,,0,7
202606,15.069256756756756,7.0,44.54486963472065,1184,0.9518581081081081,1.0,0.21415645161150748,1184,0.25760135135135137,0.0,1.607892512861008,1184,,,,0,8
202607,15.199324324324325,7.0,45.64733939448145,1184,0.9527027027027027,1.0,0.21236372757761746,1184,0.23733108108108109,0.0,1.8626347616926808,1184,,,,0,9
