co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
355710,atracao_muni,0.622900201031567,0.11671714779304398,0.46580673650222393,2
522045,atracao_muni,0.3913532336415372,-0.1148298195969858,-0.4582745940164144,1
355370,atracao_muni,0.5758426064846348,0.06965955324611184,0.27800447301290254,2
430930,atracao_muni,0.44414348623946065,-0.06203956699906232,-0.2475938521825887,2
160030,atracao_muni,0.5647956331116883,0.05861257987316537,0.23391708129387845,3
230420,atracao_muni,0.5552818555404492,0.0490988023019262,0.19594852426466802,2
251080,atracao_muni,0.5551401616123923,0.04895710837386935,0.19538303763773834,5
140010,atracao_muni,0.5490144894457928,0.04283143620726981,0.17093607834546978,8
110020,atracao_muni,0.5482351275875448,0.042052074349021806,0.16782572129332077,1
313380,atracao_muni,0.4662382460342467,-0.03994480720427629,-0.15941582394582263,2
280030,atracao_muni,0.46857835680334314,-0.03760469643517983,-0.15007667043652573,1
130260,atracao_muni,0.46862734929310024,-0.037555703945422736,-0.14988114619524343,3
130406,atracao_muni,0.5413350304595015,0.035151977220978514,0.1402881076218379,2
261000,atracao_muni,0.47578489977564237,-0.030398153462880606,-0.12131606133269535,2
521250,atracao_muni,0.4771777759512136,-0.029005277287309394,-0.11575722856508044,1
293135,atracao_muni,0.47840065220597255,-0.02778240103255042,-0.11087684887669597,5
251620,atracao_muni,0.4792708125032792,-0.026912240735243786,-0.1074041241229956,3
230810,atracao_muni,0.5327106838101874,0.026527630571664407,0.105869182526923,3
316860,atracao_muni,0.48039235623730464,-0.025790697001218332,-0.10292815262721125,5
230410,atracao_muni,0.4818482579024291,-0.024334795336093895,-0.09711779128680001,4
351300,atracao_muni,0.5295888390579958,0.023405785819472835,0.09341020504690943,1
350760,atracao_muni,0.5276790413639979,0.02149598812547493,0.08578838898952927,2
231290,atracao_muni,0.5274239419336841,0.021240888695161164,0.08477031207996728,7
240200,atracao_muni,0.4850266116435623,-0.021156441594960662,-0.0844332919514321,2
330330,atracao_muni,0.48868472094132254,-0.017498332297200436,-0.06983413504965862,1
312670,atracao_muni,0.4893958336639189,-0.01678721957460405,-0.06699615363166535,4
150170,atracao_muni,0.48977480880034885,-0.016408244438174124,-0.0654837008785453,4
270030,atracao_muni,0.4905009458951639,-0.015682107343359064,-0.06258575865853187,5
420420,atracao_muni,0.49056516654164933,-0.01561788669687364,-0.062329460331156,2
270240,atracao_muni,0.49056975501397593,-0.015613298224547045,-0.0623111481862793,2
231340,atracao_muni,0.4915513866065402,-0.014631666631982787,-0.05839355238115727,4
351050,atracao_muni,0.5203214470266153,0.01413839378809234,0.056424948641583414,4
521800,atracao_muni,0.49216077613877746,-0.014022277099745517,-0.05596153828008122,5
522020,atracao_muni,0.5200900471060402,0.013906993867517259,0.05550145416054045,1
291840,atracao_muni,0.49313822917112293,-0.01304482406740004,-0.05206061870065175,7
221100,atracao_muni,0.49326918891465665,-0.01291386432386632,-0.05153797115569309,2
240800,atracao_muni,0.49346225997590476,-0.012720793262618213,-0.050767443408455244,5
150060,atracao_muni,0.5185095357664709,0.01232648252794788,0.04919378778066129,2
311940,atracao_muni,0.49387700677704277,-0.012306046461480202,-0.04911222943548025,1
171610,atracao_muni,0.5183974119124419,0.012214358673918957,0.048746312430922,1
310730,atracao_muni,0.4940251636160185,-0.01215788962250447,-0.0485209499623377,4
270430,atracao_muni,0.4940537319589472,-0.012129321279575778,-0.04840693649612033,2
431010,atracao_muni,0.49408390737570407,-0.012099145862818905,-0.04828650935522552,1
521020,atracao_muni,0.5182151418968477,0.012032088658324724,0.04801889060189733,1
520640,atracao_muni,0.5182151418968477,0.012032088658324724,0.04801889060189733,1
500110,atracao_muni,0.5178907412926147,0.011707688054091725,0.046724239476211335,1
316070,atracao_muni,0.5177026846676873,0.011519631429164345,0.04597372385454476,2
110028,atracao_muni,0.5175292496957801,0.011346196457257096,0.04528156182191253,3
420820,atracao_muni,0.517360713901561,0.011177660663038047,0.044608951928907035,1
150360,atracao_muni,0.4961787681663526,-0.010004285072170382,-0.03992612455513866,1
355010,atracao_muni,0.4966423760377976,-0.009540677200725378,-0.03807591082307032,1
120020,atracao_muni,0.5156411420484025,0.009458088809879528,0.03774630862202023,3
210140,atracao_muni,0.5156123336107951,0.009429280372272086,0.0376313369613912,4
231140,atracao_muni,0.5155910008752705,0.009407947636747571,0.03754620009758641,1
354940,atracao_muni,0.4968589359537175,-0.009324117284805478,-0.03721164135110969,2
211220,atracao_muni,0.49692754472664863,-0.009255508511874344,-0.03693783043969896,2
150680,atracao_muni,0.515415878548393,0.009232825309870019,0.03684730399607998,5
