termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
const,-0.4029505191907874,0.24283487586158226,-0.8788981300697436,0.07299709168816876,0.09704323866756182,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_10,-0.2865510715389234,0.0468646425460947,-0.37840408307761253,-0.19469806000023426,9.689627275982713e-10,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_11,-0.267226456322784,0.041796429826666356,-0.3491459534654058,-0.18530695918016227,1.6210606916134563e-10,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_12,-0.08433354935708766,0.09092806084784946,-0.2625492738029392,0.09388217508876386,0.3536797028056138,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_13,-0.02748314056902795,0.11181810107012495,-0.24664259148613255,0.19167631034807664,0.8058491635483105,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_14,0.1132427578481217,0.05680823390315813,0.0019006653726044986,0.2245848503236389,0.046215305733916426,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_15,0.17812057435025894,0.06904966478610958,0.042785718224920555,0.3134554304755973,0.009891457009977043,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_16,-0.09747109308264681,0.09744393797493256,-0.28845770202526955,0.09351551585997589,0.3171756646766333,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_2,0.09862184427704103,0.06994023333091266,-0.038458494121875644,0.23570218267595772,0.15851386671594392,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_3,0.09845843237028373,0.12074614899191956,-0.13819967092578594,0.3351165356663534,0.41483379978018964,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
cod_curso_4,0.10927828533933187,0.08642655186405637,-0.0601146436222017,0.27867121430086544,0.2060841967988407,,LPM_full_winsorizado_p99,1295,368,0.24569003612524554,0.30347490347490347
