co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
160030,estrato_capital,0.274607437777017,0.04282909138116278,0.4978953811238978,8
231290,estrato_metropolitano,0.3205087901075279,0.026274991443594797,0.43330534622367145,21
140010,estrato_capital,0.2660172053070632,0.03423885891120895,0.3980324857963616,15
312670,estrato_interior_proximo_polo,0.14366761239557108,0.017065650204028837,0.3955265087237282,8
110020,estrato_capital,0.2023379653007366,-0.029440381095117624,-0.34224937520466314,5
251080,estrato_capital,0.2583781456942855,0.026599799298431287,0.30922713469790336,10
230020,estrato_interior_proximo_polo,0.1396925133436968,0.013090551152154573,0.3033965851039616,4
140047,estrato_capital,0.2062912517664852,-0.025487094629369045,-0.29629175602384744,8
130260,estrato_capital,0.25637616464353763,0.024597818247683395,0.2859537687188308,5
312670,estrato_metropolitano,0.3101249736462118,0.015891174982278655,0.262064065458555,8
150680,estrato_metropolitano,0.30893912647751903,0.014705327813585911,0.24250805840516237,5
230020,estrato_metropolitano,0.30881759830928246,0.014583799645349338,0.24050391674343355,4
241220,estrato_metropolitano,0.28040615959032356,-0.013827639073609566,-0.2280339443348121,6
240260,estrato_metropolitano,0.30789113217501896,0.013657333511085834,0.22522540637994432,7
410690,estrato_capital,0.2126206039077744,-0.019157742488079832,-0.22271197426736147,2
211220,estrato_metropolitano,0.2808023901027359,-0.013431408561197233,-0.22149963966210548,6
140047,estrato_metropolitano,0.3068249994064717,0.012591200742538555,0.2076436298306547,8
150240,estrato_metropolitano,0.30650439631045523,0.012270597646522108,0.20235650972566785,6
520140,estrato_metropolitano,0.28239033953429626,-0.011843459129636857,-0.19531249590203834,3
150470,estrato_interior_proximo_polo,0.13432241946711201,0.007720457275569775,0.17893519880279268,4
150380,estrato_interior_proximo_polo,0.11889173473631329,-0.007710227455228952,-0.17869810469410635,5
280350,estrato_capital,0.24698324049768283,0.015204894101828598,0.1767594478342847,5
310730,estrato_interior_proximo_polo,0.11899782252047678,-0.007604139671065463,-0.17623933339698253,8
251080,estrato_metropolitano,0.28364739747006573,-0.01058640119386739,-0.17458213999493546,10
330455,estrato_capital,0.21725979445771693,-0.014518551938137308,-0.16878060489943847,1
315400,estrato_interior_proximo_polo,0.11937562517705647,-0.007226337014485773,-0.16748309124054617,4
313700,estrato_interior_proximo_polo,0.11937562517705659,-0.007226337014485648,-0.16748309124054325,4
311430,estrato_interior_proximo_polo,0.1193756251770567,-0.007226337014485537,-0.1674830912405407,4
313600,estrato_interior_proximo_polo,0.11937562517705672,-0.007226337014485523,-0.16748309124054037,4
150140,estrato_capital,0.21738777997669817,-0.014390566419156064,-0.16729275174410552,9
251620,estrato_capital,0.24607288913690836,0.014294542741054128,0.16617646035748718,7
312670,estrato_capital,0.24552332572442134,0.013744979328567108,0.15978769337952786,8
210675,estrato_interior_proximo_polo,0.13337160745529467,0.006769645263752427,0.15689845534499477,1
210440,estrato_interior_proximo_polo,0.13337160745529464,0.0067696452637524,0.15689845534499414,1
120040,estrato_capital,0.24401403304200492,0.012235686646150684,0.1422419124370503,10
230020,estrato_capital,0.2440014635305022,0.012223117134647965,0.1420957897545845,4
150470,estrato_metropolitano,0.30259467951287927,0.00836088084894615,0.13788070602286076,4
314870,estrato_interior_proximo_polo,0.13252389107998,0.005921928888437761,0.13725113489089408,9
316210,estrato_interior_proximo_polo,0.13252389107997975,0.005921928888437511,0.13725113489088828,9
420540,estrato_capital,0.21997610484763397,-0.011802241548220266,-0.1372030403697043,1
314220,estrato_interior_proximo_polo,0.13242156649371287,0.005819604302170628,0.13487958233479608,1
314760,estrato_interior_proximo_polo,0.13242156649371262,0.005819604302170378,0.13487958233479028,1
314400,estrato_interior_proximo_polo,0.13242156649371262,0.005819604302170378,0.13487958233479028,1
521800,estrato_interior_proximo_polo,0.1323776240015625,0.005775661810020261,0.13386113766394775,9
521720,estrato_interior_proximo_polo,0.12084208489190856,-0.0057598772996336756,-0.13349530382752905,4
320120,estrato_capital,0.22042288533388968,-0.011355461061964556,-0.13200914217318907,3
150380,estrato_metropolitano,0.28623516288568057,-0.00799863577825255,-0.1319068610413442,5
210440,estrato_metropolitano,0.30184364632793137,0.007609847663998248,0.12549529022061703,1
210675,estrato_metropolitano,0.3018436463279313,0.007609847663998193,0.12549529022061612,1
