competencia,estoque_sem_atracao,estoque_com_atracao,t_rel_T0,diferenca_com_vs_sem
202406,9.451612903225806,20.735449735449734,-16,11.283836832223928
202407,9.513647642679901,20.841269841269842,-15,11.32762219858994
202408,9.578163771712159,20.83862433862434,-14,11.26046056691218
202409,9.647642679900745,20.67195767195767,-13,11.024314992056926
202410,9.6848635235732,20.93121693121693,-12,11.24635340764373
202411,9.653846153846153,21.026455026455025,-11,11.372608872608872
202412,9.636476426799007,21.14021164021164,-10,11.503735213412632
202501,9.534739454094293,21.193121693121693,-9,11.6583822390274
202502,9.549627791563275,21.193121693121693,-8,11.643493901558418
202503,9.594292803970223,21.349206349206348,-7,11.754913545236125
202504,9.707196029776675,21.3994708994709,-6,11.692274869694224
202505,9.766749379652605,21.515873015873016,-5,11.74912363622041
202506,9.839950372208436,21.64021164021164,-4,11.800261268003203
202507,9.900744416873449,21.764550264550266,-3,11.863805847676817
202508,9.995037220843672,21.85185185185185,-2,11.856814631008179
202509,10.02605459057072,22.224867724867725,-1,12.198813134297005
202510,10.114143920595534,22.50793650793651,0,12.393792587340975
202511,10.218362282878411,22.71693121693122,1,12.498568934052807
202512,10.248138957816376,22.78306878306878,2,12.534929825252405
202601,10.313895781637717,22.941798941798943,3,12.627903160161226
202602,10.344913151364764,23.145502645502646,4,12.800589494137881
202603,10.436724565756824,23.64021164021164,5,13.203487074454815
202604,10.547146401985112,23.936507936507937,6,13.389361534522825
202605,10.601736972704714,24.1005291005291,7,13.498792127824387
202606,10.72952853598015,24.322751322751323,8,13.593222786771173
202607,10.807692307692308,24.563492063492063,9,13.755799755799755
