termo,ame,se_ame,z,p_valor,espec,n,n_clusters,outcome_medio,ci_low,ci_high,q_fdr_estrato
cod_curso_10,-0.2455810711184219,0.029601542566176073,-8.296225460866111,0.0,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.30359902843495634,-0.18756311380188742,
cod_curso_11,-0.23585352956873423,0.028025168014236386,-8.41577575730943,0.0,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.29078184953732145,-0.18092520960014702,
cod_curso_12,-0.0795336299037506,0.06979355126971827,-1.1395555671954798,0.254471505663461,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.21632647674554817,0.057259216938046975,
cod_curso_13,-0.04968184503875912,0.07598745591955805,-0.6538164021618699,0.5132300978791422,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.19861452191791784,0.09925083184039958,
cod_curso_14,0.08463648101115608,0.05165180695375783,1.6385967113779454,0.10129727769875307,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.016599200354624796,0.18587216237693693,
cod_curso_15,0.14167907366911278,0.06255149809780948,2.2649988885569843,0.023512747720290328,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.019080390218380497,0.2642777571198451,
cod_curso_16,-0.09605212567090922,0.06605364357672179,-1.4541533285645927,0.1459038011698317,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.2255148881289294,0.03341063678711097,
cod_curso_2,0.08224544452657566,0.06276853683031634,1.310297303072584,0.19009527947140947,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.040778627023120295,0.2052695160762716,
cod_curso_3,0.05714752785113687,0.10158463222998208,0.5625607594046113,0.5737340189714435,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.14195469270237482,0.25624974840464854,
cod_curso_4,0.07173637161108762,0.07536676416228412,0.9518303247917168,0.3411830400522782,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.0759797717783133,0.21945251500048854,
cod_curso_5,-0.08330053034711007,0.05674439434148822,-1.4679957608818028,0.1421053743948817,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.19451749958096543,0.027916438886745276,
cod_curso_6,0.20691834458315533,0.07400316688876712,2.7960741855030435,0.005172752524735813,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.06187480273926471,0.35196188642704596,
cod_curso_7,-0.16898406328247623,0.03891432170231181,-4.3424645706322895,1.4089321163757162e-05,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.24525473230181277,-0.09271339426313968,
cod_curso_8,0.270199054582683,0.05667939446547229,4.767147869712717,1.868521745107543e-06,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.15910948276481846,0.38128862640054756,
cod_curso_9,-0.09693976196833827,0.04638692213726437,-2.0898080213531323,0.036635048517830615,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.18785645871104018,-0.006023065225636351,
estrato_capital,0.2500513199434053,0.10068306858374182,2.4835488574270896,0.013008048888915047,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.05271613166629513,0.44738650822051546,0.013008048888915047
estrato_interior_proximo_polo,0.10773369376352389,0.040208127636437906,2.679400909628334,0.007375402918627927,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.02892721171031598,0.1865401758167318,0.01106310437794189
estrato_metropolitano,0.29276054704150734,0.06413141532706981,4.565009918281554,4.9947072540135196e-06,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.1670652827228705,0.4184558113601442,1.4984121762040559e-05
uf_fe_AM,0.32551371355976094,0.11023445849795391,2.9529215999714182,0.0031478189808540336,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.10945814504849599,0.5415692820710258,
uf_fe_BA,0.44144671431299976,0.08561740670192336,5.1560393069355,2.522279709538111e-07,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.2736396807275117,0.6092537478984879,
uf_fe_CE,0.45464856357457806,0.09332734893650392,4.871546966194252,1.1072783354659776e-06,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.27173032088642785,0.6375668062627282,
uf_fe_GO,0.2748769104590616,0.14315459860096083,1.9201402759353388,0.054840183102147,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.005700947020109648,0.5554547679382329,
uf_fe_MA,0.39053091090774333,0.09703303029196454,4.024721373048615,5.704281267315814e-05,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.20034966622470873,0.5807121555907779,
uf_fe_MG,0.23192144824821587,0.09387409475719133,2.470558558759889,0.013490223022814885,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.04793160344282055,0.4159112930536112,
uf_fe_MS,0.107004048998186,0.14893858562659393,0.7184441059918307,0.47248349981396087,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.18491021473827307,0.39891831273464506,
uf_fe_MT,0.08677955626750529,0.1381221253714723,0.6282813563295248,0.5298196426844404,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,-0.1839348349287065,0.35749394746371704,
uf_fe_PA,0.29548323293228984,0.09922160222486921,2.978013117170053,0.0029012356802329275,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.1010124660831869,0.48995399978139276,
uf_fe_PI,0.22640832818935178,0.1006549792626642,2.2493505025571356,0.024490205093145034,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.02912819396990393,0.42368846240879965,
uf_fe_PR,0.39405577950087833,0.13117009090925583,3.0041587740721187,0.0026631630544484697,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.13696712546989215,0.6511444335318646,
uf_fe_RESTO,0.4032098550895364,0.10063768665365698,4.006549320605677,6.161226447876089e-05,Logit_AME_minimal_estrato_FEcurso_FEuf,1295,368,0.30347490347490347,0.20596361376094144,0.6004560964181314,
