termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio,outcome_estagio
const,-0.035825941149765686,0.0673409492267836,-0.16781177631900196,0.09615989401947057,0.5947202754173315,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_10,-0.28479439625523173,0.0456483192037206,-0.37426345784931225,-0.19532533466115123,4.4071425415476323e-10,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_11,-0.2580997098613224,0.041595369214940864,-0.3396251354462526,-0.1765742842763922,5.469319127242203e-10,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_12,-0.07698729217371876,0.09106576392412939,-0.2554729096896393,0.10149832534220178,0.39788573429982055,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_13,-0.014772374260525089,0.11097618497484744,-0.23228169995288114,0.202736951431831,0.8941040045084878,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_14,0.10295864958165205,0.057463181917665494,-0.009667117414045606,0.2155844165773497,0.07317582870459599,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_15,0.16238412875401587,0.06900745383534214,0.027132004571934848,0.29763625293609686,0.01861567541063513,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_16,-0.09310710495216894,0.09603769668658894,-0.28133753161606495,0.09512332171172706,0.33230326810072697,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_2,0.08218744452969685,0.06845658885978693,-0.05198500413995143,0.21635989319934512,0.2299151093465509,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_3,0.07593075777267623,0.10771609773667795,-0.135188914346409,0.28705042989176144,0.4808627607579421,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_4,0.12409361856743444,0.08566018388059143,-0.04379725674760325,0.2919844938824721,0.14742884904287243,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_5,-0.07741235763126425,0.07700499793550324,-0.22833938021443181,0.07351466495190331,0.3147572085404051,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_6,0.26184443577949035,0.07755743306930432,0.1098346602302781,0.4138542113287026,0.0007351159300437342,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_7,-0.19596720969605982,0.04961500992957813,-0.2932108422506301,-0.09872357714148952,7.82307259231646e-05,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_8,0.31513648836172664,0.05875260143913684,0.19998350554298228,0.430289471180471,8.149462522023868e-08,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
cod_curso_9,-0.11253478928477646,0.055656388771775867,-0.22161930678701663,-0.0034502717825363044,0.04318086039111363,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
estrato_capital,0.22439672340533534,0.0860237009469749,0.05579336773242041,0.3930000790782503,0.00909279676231514,0.00909279676231514,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
estrato_interior_proximo_polo,0.12247552438501798,0.042798676927578494,0.03859165902099876,0.2063593897490372,0.004214205726937021,0.006321308590405532,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
estrato_metropolitano,0.28522664150294025,0.05965487655834023,0.16830523194641067,0.4021480510594698,1.7418294148872261e-06,5.225488244661679e-06,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_AM,0.24861771185825898,0.08867566014242786,0.07481661167378642,0.4224188120427316,0.0050523839881203726,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_BA,0.3628686090613176,0.07250344891197391,0.220764460438909,0.5049727576837263,5.590665687772197e-07,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_CE,0.3933605526267399,0.0917853480480568,0.21346457614407485,0.5732565291094049,1.8219962283366132e-05,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_GO,0.19613563575503587,0.11021207170943063,-0.019876055456993974,0.4121473269670657,0.07513812819725274,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_MA,0.3201986006905706,0.07782661671324584,0.16766123489400572,0.47273596648713545,3.884306981996409e-05,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_MG,0.17006314352775892,0.06588518823912445,0.04093054746443306,0.2991957395910848,0.009845624369497243,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_MS,0.05133255576824696,0.09537766940147484,-0.13560424118801165,0.23826935272450558,0.5904368515043488,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_MT,0.09135518524755594,0.0712140010019618,-0.048221691911288514,0.2309320624064004,0.19955297803069405,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_PA,0.23234305363705535,0.06704552722658805,0.10093623494844317,0.3637498723256675,0.0005293410899700137,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_PI,0.1320470907174265,0.06787128865669986,-0.0009781906340271262,0.2650723720688801,0.05170863195543812,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
