amostra,escala,competencia,fase,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,referencia,n_obs,n_celulas,n_clusters,n_parametros_fe_absorvidos,q_fdr_bh,q_fdr_bh_gl_fe,familia_fdr
confirmatoria_587,nivel,202406,PRE,0.08168584624218986,0.21129314819175601,-0.33415294909690874,0.4975246415812885,0.699332311074247,0.2229119872997929,-0.35701958769486297,0.5203912801792426,0.7142937313939517,False,15262,587,295,1547,0.7601438163850511,0.7764062297760345,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202407,PRE,0.18289699821249591,0.1960577505320698,-0.20295753372982486,0.5687515301548167,0.3516509762234748,0.2068388074608464,-0.22417536196567497,0.5899693583906668,0.3772843859990763,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202408,PRE,0.08943947630875858,0.17049452189685413,-0.24610494244901737,0.42498389506653456,0.6002645468012401,0.1798698775847889,-0.26455625830336876,0.44343521092088595,0.6193876361632568,False,15262,587,295,1547,0.7146006509538573,0.7373662335276866,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202409,PRE,0.04584124017577117,0.16669080511710807,-0.2822172140959949,0.37389969444753723,0.7835035522774927,0.1758569974996795,-0.30025688282560137,0.39193936317714373,0.7945268726344975,False,15262,587,295,1547,0.8161495336223883,0.8276321589942682,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202410,PRE,0.12766153715515483,0.15936045269976537,-0.18597030203360604,0.4412933763439157,0.423728386067815,0.16812355493922898,-0.20321666288286944,0.4585397371931791,0.4482625722216581,False,15262,587,295,1547,0.6231299795114926,0.6592096650318501,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202411,PRE,0.14428757415924587,0.1529144863051665,-0.15665817973396307,0.4452333280524548,0.3461573207566909,0.16132313007271276,-0.17320694302636636,0.4617820913448581,0.37183896757031965,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202412,PRE,0.17105440138862507,0.1484755308833071,-0.12115519664251698,0.46326399941976715,0.25022771041142144,0.156640080086994,-0.1372235657988455,0.4793323685760956,0.27571752581919445,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202501,PRE,0.144730267940751,0.1447799160087705,-0.14020611725497117,0.4296666531364732,0.3182985375252771,0.15274124634331765,-0.15587453832752862,0.4453350742090306,0.3441357634528918,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202502,PRE,0.08985495692361568,0.13740724340883126,-0.18057152428976841,0.36028143813699975,0.5136669453119991,0.1449631564477017,-0.1954420574928582,0.37515197134008954,0.5358387154807968,False,15262,587,295,1547,0.6420836816399988,0.669798394350996,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202503,PRE,0.09501779966544721,0.10652110388363333,-0.11462273007364887,0.3046583294045433,0.3731175032523534,0.11237861312246206,-0.12615069303131007,0.3161862923622045,0.3985109667487127,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202504,PRE,0.011207303054931138,0.0840614884001502,-0.15423122805638648,0.17664583416624877,0.8940294000776375,0.08868396157195918,-0.16332855890550554,0.18574316501536783,0.8995226542226699,False,15262,587,295,1547,0.8940294000776376,0.8995226542226699,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202505,PRE,-0.041902168062463135,0.061548632346761833,-0.16303391960709335,0.07922958348216708,0.4965353191908585,0.06493314179572769,-0.16969485652869423,0.08589052040376796,0.5192279700084371,False,15262,587,295,1547,0.6420836816399988,0.669798394350996,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202506,PRE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,15262,587,295,1547,,,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202507,TRANSICAO,0.024138231275703734,0.062375519925695594,-0.09862088934192935,0.1468973518933368,0.6990491668449873,0.06580549925299062,-0.10537131397096626,0.1536477765223737,0.7140232934127392,False,15262,587,295,1547,0.7601438163850511,0.7764062297760345,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202508,TRANSICAO,-0.06825171914023376,0.09942177347886623,-0.2639203002927464,0.12741686201227884,0.49294734642361154,0.10488889628797068,-0.2746799571125012,0.1381765188320337,0.5157452021069964,False,15262,587,295,1547,0.6420836816399988,0.669798394350996,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202509,TRANSICAO,0.20608015525678902,0.1493396040686399,-0.08782999556344545,0.4999903060770235,0.1686526486293678,0.15755166795703793,-0.10399187674049154,0.5161521872540695,0.19188954318682155,False,15262,587,295,1547,0.5651628270417809,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202510,POS_ADMIN,0.18926966405474374,0.17674598346304798,-0.15857804171939824,0.5371173698288857,0.28511206619863944,0.18646510195990149,-0.17770590536323785,0.5562452334727254,0.31092103203284377,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202511,POS_ADMIN,0.26372495450657385,0.18505176384997993,-0.10046907266989957,0.6279189816830473,0.15517702260034844,0.19522761048406045,-0.12049580728995085,0.6479457163030986,0.17777936925586382,False,15262,587,295,1547,0.5651628270417809,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202512,POS_ADMIN,0.24255353643504604,0.1934170348386879,-0.13810389355594968,0.6232109664260418,0.21082206684428312,0.20405288095000995,-0.15903593736425317,0.6441430102343453,0.23552494032780785,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202601,POS_ADMIN,0.19748672536946654,0.2183371462927691,-0.23221512094768776,0.6271885716866208,0.36646902546614624,0.23034332915195646,-0.25584407749224364,0.6508175282311768,0.39194532854222147,False,15262,587,295,1547,0.5829960988318021,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
confirmatoria_587,nivel,202602,POS_ADMIN,0.29327552088837583,0.218647098478531,-0.13703633169089813,0.7235873734676498,0.1808521046533699,0.2306703253574056,-0.1606988319858081,0.7472498737625597,0.204589336300489,False,15262,587,295,1547,0.5651628270417809,0.6226733855448636,25_coeficientes_de_evento_confirmatoria_587_nivel
