estrato,termo,ep_realizado_cluster,mde_ex_post_p80,mde_ex_ante_A3_p80_p30,razao_ex_post_sobre_ex_ante,otimismo_do_ex_ante,z_bilateral_mais_poder,poder,alpha,nota
capital,estrato_capital,0.07179160434535373,0.20113029751855774,0.1946,1.0335575412053326,0.0335575412053327,2.8015852181129683,0.8,0.05,"ex-ante A3: formula analitica de diferenca de proporcoes com DEFF, ignora a variacao do estrato absorvida pelos FE de curso e UF; ex-post: (z_{1-alpha/2}+z_poder) x EP cluster-robusto realizado. A3 permanece congelado e nao foi reexecutado."
metropolitano,estrato_metropolitano,0.05855041209586844,0.16403396904220777,0.1374,1.1938425694483827,0.19384256944838263,2.8015852181129683,0.8,0.05,"ex-ante A3: formula analitica de diferenca de proporcoes com DEFF, ignora a variacao do estrato absorvida pelos FE de curso e UF; ex-post: (z_{1-alpha/2}+z_poder) x EP cluster-robusto realizado. A3 permanece congelado e nao foi reexecutado."
interior_proximo_polo,estrato_interior_proximo_polo,0.043120940431196554,0.12080698930317012,0.119,1.015184784060253,0.015184784060253134,2.8015852181129683,0.8,0.05,"ex-ante A3: formula analitica de diferenca de proporcoes com DEFF, ignora a variacao do estrato absorvida pelos FE de curso e UF; ex-post: (z_{1-alpha/2}+z_poder) x EP cluster-robusto realizado. A3 permanece congelado e nao foi reexecutado."
