termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
const,-0.41913291829595406,0.24076692822008255,-0.8910274262756562,0.05276158968374811,0.0817143818397961,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_10,-0.2871799155439512,0.046909380686244555,-0.37912061222606935,-0.1952392188618331,9.239952877285389e-10,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_11,-0.2678520688466889,0.041806919100196925,-0.3497921245876545,-0.18591201310572322,1.4852401629752207e-10,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_12,-0.08571354577391438,0.09093046246336282,-0.2639339772996768,0.09250688575184804,0.34587151771651614,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_13,-0.028327498379392187,0.1120104209836673,-0.24786388940054963,0.19120889264176524,0.8003450554305058,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_14,0.11330979247454401,0.05676739661721633,0.002047739608699098,0.22457184534038893,0.045929956079422025,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_15,0.17632091306302436,0.06892548170831676,0.04122945129764921,0.3114123748283995,0.010523423779715256,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_16,-0.09512036865164364,0.09750375709366547,-0.28622422091256977,0.0959834836092825,0.32928457147113266,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_2,0.09852400690838137,0.07000927816632246,-0.03869165688125703,0.23573967069801977,0.159338662114199,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_3,0.09775534738466495,0.12068337574210118,-0.1387797226025682,0.3342904173718981,0.41793154147552547,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_4,0.10703096610307715,0.08613448128452042,-0.06178951504162221,0.2758514472477765,0.21401415850258554,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_5,-0.08526437037389131,0.07875781240351179,-0.23962684618593638,0.06909810543815376,0.27897945195686225,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_6,0.25037371821373977,0.0784342457437697,0.09664542140138713,0.40410201502609244,0.001412189685886992,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_7,-0.1960017881452692,0.049768818424099755,-0.2935468798096182,-0.09845669648092019,8.207984593306113e-05,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_8,0.31703541767403354,0.05934341595036871,0.20072445969173108,0.433346375656336,9.17312046685383e-08,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
cod_curso_9,-0.11613460577714005,0.05526618305291524,-0.2244543341238518,-0.007814877430428288,0.03560864739170771,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
estoque_por_10k,0.001001572639764598,0.0007979024827735792,-0.0005622874896467082,0.002565432769175904,0.2093854963304559,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
estrato_capital,0.06581450147982211,0.12539803124060975,-0.17996112348400156,0.31159012644364575,0.5996911026254026,0.5996911026254026,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
estrato_interior_proximo_polo,0.07664055418794526,0.05414371491745819,-0.02947917703947686,0.18276028541536737,0.15692126807863505,0.23538190211795257,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
estrato_metropolitano,0.19767016206581814,0.08487796978234714,0.03131239821153872,0.3640279259200976,0.019865701064080057,0.05959710319224017,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
faixa_FAIXA 2,0.020843481808138054,0.049954854727747,-0.07706623431117651,0.11875319792745262,0.6764982112042097,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
faixa_FAIXA 3,-0.07008200339608857,0.0696026052207427,-0.20650060285890381,0.06633659606672666,0.31398876891455907,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
ivs_2010,-0.043067970041003996,0.28507164990799577,-0.6017981368740868,0.5156621967920787,0.8799144210769687,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
log_pop,0.04636284575290953,0.024233274722243837,-0.00113349993015327,0.09385919143597234,0.05572380249167028,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_AM,0.21906283395870674,0.09481488090860435,0.03322908217938786,0.4048965857380256,0.020864541409684308,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_BA,0.3277349776997715,0.07551510602188323,0.17972808960815662,0.4757418657913864,1.4248771709534686e-05,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_CE,0.3827165219107026,0.08513899712998663,0.21584715385606978,0.5495858899653354,6.950573085409173e-06,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_GO,0.2399717083711853,0.11306133153575866,0.018375570516955708,0.4615678462254149,0.03379649077283382,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_MA,0.3090492398716982,0.07897812773511978,0.15425495394445948,0.4638435257989369,9.11191213108342e-05,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_MG,0.19748423325646353,0.07114370619734804,0.05804513138296233,0.33692333512996475,0.0055057659535422444,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_MS,0.06586184679387107,0.10810300175137103,-0.14601614325948653,0.27773983684722864,0.5423581732047629,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_MT,0.1437569013075753,0.07939551776225716,-0.011855454040358898,0.2993692566555095,0.07019620394503472,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_PA,0.18967839833686642,0.07101005526569884,0.050501247475897876,0.328855549197835,0.007559221008644719,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_PI,0.1372164258975672,0.0717140997626122,-0.003340626820865167,0.27777347861599955,0.055699241470164376,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_PR,0.33169922499400234,0.14056699887756213,0.05619296977909838,0.6072054802089063,0.018288569569185023,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_RESTO,0.3687149466399454,0.09323196557500363,0.18598365190506017,0.5514462413748307,7.659468417290335e-05,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_RJ,0.3677369091667965,0.10797920712849823,0.1561015521157493,0.5793722662178438,0.0006601228883333666,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_RN,0.4095537839639783,0.1248104546686244,0.16492978791940544,0.6541777800085511,0.0010329092000497856,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_RO,0.17574496565382458,0.07653611108674031,0.025736944407056817,0.32575298690059235,0.021662397118680166,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_RS,0.17210300220256747,0.09550573489417323,-0.015084798507042363,0.3592908029121773,0.07154265793094003,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_SC,0.26937707511376846,0.14527696601736023,-0.015360546063506952,0.5541146962910439,0.06370609802053272,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_SP,0.330308439253856,0.09538891064781088,0.1433496098596374,0.5172672686480746,0.0005346747556262734,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
uf_fe_TO,0.05964739831252899,0.0910554053112689,-0.11881791669525521,0.2381127133203132,0.5124245673220355,,LPM_full_estrato_ivs_logpop_estoque_faixa_FE,1295,368,0.2464410702920825,0.30347490347490347
