cnes,media_pre,ultimo_pre,desvio_pre,prop_zero_pre,media_070102_generico_pre,tendencia_pre,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao,co_ibge_6d,ivs_2010,populacao_2010,macro_regiao_saude,log_pop_2010,propensao_pre,peso_sobreposicao,suporte_comum,limite_inferior_suporte,limite_superior_suporte,nivel,braco_municipal
0000485,23.923076923076923,25,0.7961445558729604,0.0,0.0,0.09162393162393169,261160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,PE,NORDESTE,261160,0.364,468300.0,NORDESTE,13.056866530552654,0.5531236974440324,0.44687630255596755,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
0003859,46.15384615384615,61,5.364269252692729,0.0,0.0,0.5381196581196585,292740,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,BA,NORDESTE,292740,0.378,1120096.0,NORDESTE,13.928925846663953,0.6457321339201091,0.3542678660798909,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
0012513,0.8846153846153846,1,0.32581259360842113,0.11538461538461539,0.0,0.023589743589743587,330330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,RJ,SUDESTE,330330,0.291,91692.0,SUDESTE,11.426201319452963,0.1548547804495801,0.1548547804495801,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
0012556,21.884615384615383,23,0.8161824833662168,0.0,0.0,-0.03589743589743624,330330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE,330330,0.291,91692.0,SUDESTE,11.426201319452963,0.18020424233053214,0.18020424233053214,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
0220337,25.115384615384617,26,0.9930527912220194,0.0,0.0,-0.029059829059828936,250400,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,PB,NORDESTE,250400,0.309,103352.0,NORDESTE,11.54590559226482,0.5104928011362537,0.5104928011362537,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2005050,9.461538461538462,9,0.5817744738827394,0.0,0.0,-0.04102564102564108,270030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE,270030,0.391,58469.0,NORDESTE,10.976269081169717,0.3605759067541353,0.3605759067541353,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2006197,45.03846153846154,50,2.763776680280362,0.0,0.0,0.34495726495726503,270430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,AL,NORDESTE,270430,0.434,306012.0,NORDESTE,12.631382863692243,0.44393148832251833,0.44393148832251833,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2009250,28.692307692307693,32,1.6677944901990962,0.0,0.0,0.13401709401709422,270430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,AL,NORDESTE,270430,0.434,306012.0,NORDESTE,12.631382863692243,0.44020552495011445,0.44020552495011445,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2010631,7.884615384615385,10,1.1773503497913635,0.0,0.0,-0.01401709401709396,270630,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE,270630,0.43,17347.0,,9.761232504955258,0.24872622653368243,0.24872622653368243,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2011166,14.576923076923077,20,2.8167083899200764,0.0,0.0,0.3429059829059829,270690,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE,270690,0.425,11587.0,,9.35772535888924,0.23642038258382642,0.23642038258382642,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2012677,44.88461538461539,5,19.01857391725662,0.11538461538461539,0.0,-1.6345299145299155,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE,130260,0.414,652919.0,NORTE,13.38920988926797,0.7830007192987661,0.21699928070123387,False,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2013258,3.0,3,0.0,0.0,0.0,1.2578779118995098e-17,130250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE,130250,0.458,23720.0,NORTE,10.074116010739036,0.6123215618197229,0.38767843818027714,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2016397,1.4230769230769231,1,0.7575263387144725,0.0,0.0,-0.00034188034188035505,130140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,AM,NORTE,130140,0.664,7948.0,,8.980801413573113,0.28277644944156166,0.28277644944156166,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2016923,3.0,3,0.0,0.0,0.0,1.2578779118995098e-17,130190,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AM,NORTE,130190,0.335,22913.0,NORTE,10.03950335645357,0.7457606812226246,0.7457606812226246,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2017016,2.6538461538461537,3,0.48516452403758387,0.0,0.0,-0.005811965811965797,130170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,AM,NORTE,130170,0.401,10683.0,NORTE,9.276502574229852,0.6258718934974161,0.6258718934974161,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2017318,176.23076923076923,213,70.32172221571807,0.0,0.0,7.0140170940170945,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE,130260,0.414,652919.0,NORTE,13.38920988926797,0.903594563003555,0.096405436996445,False,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2017431,46.92307692307692,44,1.8093772834448143,0.0,0.0,-0.22700854700854742,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE,130260,0.414,652919.0,NORTE,13.38920988926797,0.8440775797095497,0.15592242029045034,False,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2017644,103.1923076923077,102,1.6497085989769416,0.0,0.0,-0.14940170940171027,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE,130260,0.414,652919.0,NORTE,13.38920988926797,0.8461923150605437,0.1538076849394563,False,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2017768,1.0,1,0.0,0.0,0.0,3.60962615052913e-18,130002,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,AM,NORTE,130002,0.571,3113.0,NORTE,8.043663352393944,0.3226288634465666,0.6773711365534334,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2018136,1.7307692307692308,2,0.4523443208612049,0.0,0.0,-0.011965811965811963,130120,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE,130120,0.446,19854.0,NORTE,9.896211143565353,0.6160214727966701,0.3839785272033299,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2019604,1.6153846153846154,2,0.8038369524685003,0.0,0.0,-0.016410256410256396,130330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,AM,NORTE,130330,0.663,5834.0,NORTE,8.671629544720656,0.26751058344275946,0.26751058344275946,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2020068,7.0,7,0.6324555320336757,0.0,0.0,0.061538461538461514,160030,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AP,NORTE,160030,0.35,136685.0,NORTE,11.825441603422009,0.8242581835082662,0.17574181649173382,False,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2023474,19.307692307692307,21,1.97523124254819,0.0,0.0,0.20239316239316227,352470,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE,352470,0.187,5535.0,,8.619027497297505,0.13685891478953344,0.13685891478953344,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2026805,2.0,2,0.0,0.0,0.0,7.21925230105826e-18,351860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE,351860,0.358,8567.0,SUDESTE,9.055789612127585,0.0686648722726256,0.0686648722726256,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
2027356,79.3076923076923,62,18.331981302127115,0.0,0.0,-1.5042735042735056,354870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,SP,SUDESTE,354870,0.329,126272.0,SUDESTE,11.746201508762992,0.16854993882506455,0.16854993882506455,True,0.029054815478377627,0.7502884717312561,cnes_ofertante,
