ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
230930,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,CE,NORDESTE
231290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,CE,NORDESTE
231310,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,CE,NORDESTE
231340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,CE,NORDESTE
231360,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,CE,NORDESTE
240260,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RN,NORDESTE
240310,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RN,NORDESTE
240710,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RN,NORDESTE
240830,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RN,NORDESTE
241120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,4,False,RN,NORDESTE
250370,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,PB,NORDESTE
250400,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,3,0,8,True,PB,NORDESTE
250890,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,PB,NORDESTE
251130,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PB,NORDESTE
251140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PB,NORDESTE
251600,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PB,NORDESTE
251620,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,PB,NORDESTE
260110,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
260290,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
260600,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
260620,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
260790,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,False,PE,NORDESTE
260890,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
260950,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
260960,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
260990,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
261000,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,PE,NORDESTE
261070,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
261110,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,4,0,False,PE,NORDESTE
261160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,7,21,0,True,PE,NORDESTE
261220,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
261370,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
261640,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
270030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,AL,NORDESTE
270430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,4,0,12,True,AL,NORDESTE
270630,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
270690,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
270730,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
270800,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,AL,NORDESTE
270930,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
280210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SE,NORDESTE
280350,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SE,NORDESTE
290070,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,True,BA,NORDESTE
290320,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,False,BA,NORDESTE
290570,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,True,BA,NORDESTE
290630,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE
290650,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,BA,NORDESTE
291120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
291610,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,BA,NORDESTE
291700,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
291840,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,False,BA,NORDESTE
291920,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,BA,NORDESTE
291950,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE
291955,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,BA,NORDESTE
291980,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
292100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,BA,NORDESTE
292150,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
292250,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE
292360,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
292530,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
292740,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,3,7,0,False,BA,NORDESTE
293050,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE
293290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
293330,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,2,0,True,BA,NORDESTE
310340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
310350,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,2,0,False,MG,SUDESTE
310730,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
311340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,2,False,MG,SUDESTE
311730,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
311860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,MG,SUDESTE
311880,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
311940,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
312090,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,MG,SUDESTE
312160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,True,MG,SUDESTE
312560,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
312670,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
312710,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
312780,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
313170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,MG,SUDESTE
313250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
313350,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
313440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
313840,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
313930,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
314140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
314180,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
314200,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
314330,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,2,0,False,MG,SUDESTE
314430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
314700,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
314710,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
314870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
315120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
315150,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
315170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,MG,SUDESTE
315560,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
315580,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
315690,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
